脠	bnkv
蠫	bnlii
脆	bnmu
肷	bno
胫	bnom
膯	bnot
膙	bnri
肠	bnsh
贝	bo
赗	boabu
腹	boae
膓	boah
赐	boaph
肭	bob
赒	bobgr	bob'gr
朒	bobo	bob'o
赑	boboo
赠	bocwa
财	bodh
胕	bodi
赕	boff
脽	bog
膲	bogf
臇	bogs
鶏	bohaf
贩	bohe
赂	boher
胗	bohh
贬	bohio
赙	boibi
赃	boig
朎	boii
贼	boij
贱	boij
赇	boije
肣	boin
腍	boip
贻	boir
赌	bojka
贮	bojm
赎	bojnk
贿	bokb
则	boln
膾	boma
腀	bomb
脍	bomi
脸	bomm
祭	bommf
赈	bommv
腧	bomn
臉	bomo
赋	bompm
豋	bomrt
肐	bon
赡	boncr
脞	boog
罂	booju
败	book
赊	boomf
胣	bopd
购	bopi
账	bopo
脌	boq
贶	borhu
胙	bos
赆	bosoy
膴	botf
赚	botxc
婴	bov
脢	bowy
詧	boymr
贴	boyr
赔	boytr
赅	boyvo
脂	bpa
肔	bpd
肳	bphh
脗	bphr
肑	bpi
胀	bpo
肶	bpp
朐	bpr
胊	bpr
胞	bpru
朑	bpt
肫	bpu
胸	bpuk	bpu'k
用	bq	b'q
皲	bqdhe
肨	bqj
腠	bqkk
腈	bqmb
膆	bqmf
脿	bqmv
郓	bqnl
肤	bqo
甩	bqu
冋	br	b'r
胑	brc
鵰	brhaf
