酣	mwtm	mwt'm
醛	mwtog
醝	mwtqm
醩	mwtwa
醴	mwtwt
醲	mwtwv
酗	mwuk	mwu'k
要	mwv
酳	mwvib
醁	mwvne
醳	mwwlj
醞	mwwot
醸	mwycv
醚	mwyfd
醯	mwyit
酼	mwyiu
酙	mwyj
醉	mwyoj
醵	mwypo
酟	mwyr
醕	mwyra
醇	mwyrd
釀	mwyrv
醷	mwytp
醅	mwytr
醨	mwyub
歃	mxno
敮	mxye
下	my
龎	mybp
颪	myhn
焉	mylf
正	mylm
兏	mymu
乤	myn
忑	myp
厗	mytj
丐	myvs
弓	n
兔	nahi
免	nahu
象	napo
色	nau
弝	nau
觛	nbam
弸	nbb
夐	nbbue
敻	nbbuk
觯	nbcwj
觖	nbdk
觫	nbdl
烉	nbf
觘	nbfh
觥	nbfmu
角	nbg	nb'g
墮	nbg
堕	nbg
觟	nbgg
鷸	nbhaf
鵤	nbhaf
觡	nbher
觝	nbhpm
氄	nbhqu
觝	nbhvi
觚	nbhvo
觗	nbhvp
觬	nbhxu
觩	nbije
觰	nbjka
奐	nbk
奂	nbk
觭	nbkmr
勇	nbks
觔	nbks
勈	nbks
触	nblmi
劀	nbln
觨	nbme
瓕	nbmgi
觼	nbnbe
觙	nbnhe
觮	nbnme
觤	nbnmu
负	nbo
觴	nboah
觹	nbogs
觞	nbonh
隳	nbop
恿	nbp
鹬	nbpym
角	nbq	nb'q
觶	nbrrj
解	nbshq
觲	nbtgq
觵	nbtlc
觾	nbtlf
觧	nbtq
嶞	nbu
負	nbuc
彏	nbue
