灸	nof
粂	nofd
墜	nog
坠	nog
墬	nog
癹	nohne
飛	nohto
矤	nok
勨	noks
蛋	nolmi
癷	nomj
癸	nomk
発	nomkp
凳	nomrn
登	nomrt
發	nonhe
飝	nonoo
弛	npd
櫽	npd
张	npo
弽	nptd
丮	nq
桀	nqd
蟹	nqlmi
弲	nrb
强	nrli
甔	nrmvn
毚	nrppi
彈	nrrj
娿	nrv
盈	nsbt
盁	nsbt
鼐	nsbul
争	nsd
朶	nsd
皱	nsdhe
尕	nsf
熃	nsf
埅	nsg
夃	nshe	ns'he
弨	nshr
弭	nsj
呄	nsjr
奦	nsk
弬	nsll	ns'll
弫	nsll	ns'll
刍	nsm	ns'm
戼	nsmls
張	nsmv
孕	nsnd
邹	nsnl
雏	nsog
急	nsp
彄	nsrr	ns'rr
弡	nss
彅	ntbh
覴	ntbuu
凳	nthn
戤	nti
勐	ntks
彉	ntlc
鄧	ntnl
乙	nu	n
盌	nubt
眢	nubu
弢	nue
鴛	nuhaf
勉	nuks
頠	numbc
怨	nup
鸳	nupym
駌	nusqf
妴	nuv
饣	nv
馄	nvapp
馒	nvawe
馉	nvbbb
馁	nvbv
馇	nvdam
馌	nvgit
饷	nvhbr	nvhb'r
饭	nvhe
饹	nvher
饪	nvhg
馏	nvhhw
饫	nvhk
饥	nvhn
饦	nvhp
饿	nvhqi
馊	nvhxe
馎	nvibi
馂	nvice
饯	nvij
饴	nvir
饽	nvjbd
馕	nvjbv
饶	nvjpu
馆	nvjrr
蜑	nvlmi
蚀	nvlmi
