觃	bund
瞲	bunhb
眵	bunin
眳	bunir
瞰	bunjk
睷	bunkq
睩	bunme
睽	bunok
瞪	bunot
睁	bunsd
瞿	buog
睢	buog
膗	buog
矍	buoge
瞧	buogf
眕	buohh
瞺	buoma
睔	buomb
睑	buomm
睮	buomn
瞼	buomo
盵	buon
睺	buonk
睉	buoog
瞴	buotf
愳	bup
眴	bupa
盷	bupim
眗	bupr
盹	bupu
鹞	bupym
盽	buqj
睶	buqka
睛	buqmb
瞔	buqmc
瞡	buqou
睊	burb
睈	burhg
眖	burhu
睈	burmg
矂	burrd
睱	burse
眠	burvp
矚	busei
瞩	bushb
眧	bushr
眲	busj
眍	busk	bus'k
眶	busmg	bus'mg
矅	busmg
眤	busp
瞘	busrr	bus'rr
瞙	butak
睓	butbc
矇	butbo
瞨	butco
眹	butk
睰	butkr
瞞	butlb
瞒	butmb
瞱	butmj
矆	butoe
瞸	butpd
眻	butq
矔	butrg
瞄	butw
矒	butwu
朏	buu
胐	buu
県	buvf
矊	buvfb
眑	buvis
鼎	buvml
鼎	buvmn
睩	buvne
睏	buwd	buw'd
睤	buwml
瞮	buybk
矓	buybp
瞇	buyfd
眆	buyhs
褜	buyhv
盿	buyk
眦	buymp
睟	buyoj
矑	buypt
瞓	buyrl
瞳	buytg
瞕	buytj
瞝	buyub
盳	buyv
眩	buyvi
妥	bv
肗	bv
墾	bvg
鸚	bvhaf
鵎	bvhaf
膷	bvhl
奚	bvik
郻	bvnl
