僋	ooic
伶	ooii
仱	ooin
傖	ooir
仵	ooj
倁	ookr
伤	ooks
价	ooll
劍	ooln
剣	ooln
丛	oom
儈	ooma
倫	oomb
顩	oombc
俆	oomd
佺	oomg
侩	oomi
俭	oomm
偷	oomn
儉	oomo
倹	oomo
佮	oomr
倽	oomr
偸	oomv
仡	oon
歛	oono
众	ooo
侳	ooog
傘	oooj
斂	oook
伦	oop
怂	oop
作	oos
劎	oosh
劒	ooshi
剱	ooshi
耸	oosj
劔	oosk
剱	oosk
伧	oosu
儛	ootq
佡	oou
侮	oowy
化	op
仑	op
伈	op
侚	opa
锠	opaa
镅	opahu
钽	opam
锝	opami
锡	opaph
锟	opapp
钯	opau
银	opav
镘	opawe
钥	opb
锊	opbdi
钢	opbk	opb'k
锾	opbme
铜	opbmr	opb'mr
锄	opbms
货	opbo
贷	opbo
钡	opbo
铡	opbon
钼	opbu
貨	opbuc
貸	opbuc
锑	opcnh
锐	opcru
他	opd
柋	opd
铍	opdhe
钵	opdm
铼	opdt
钗	opei	opei
钗	opei	ope'i
铴	openh
铎	opeq
钬	opf
销	opfb
镗	opfbg
锁	opfbo
镋	opfbu
镂	opfdv
锬	opff
钞	opfh
锩	opfqu
铛	opfsm	opfs'm
垈	opg
钍	opg
佖	oph
铂	opha
锦	ophab
锽	ophag
锹	ophdf
锈	ophds
钣	ophe
锋	ophej
