锰	opndt
钮	opng
钑	opnhe
铭	opnir
铤	opnkg
键	opnkq
锕	opnlr
钌	opnn
钦	opno
镫	opnot
镵	opnri
镪	opnri
铮	opnsd
钖	opnsh
镥	opnwa
伥	opo
钠	opob
锥	opog
镌	opogs
铃	opoii
钤	opoin
敜	opok
铨	opomg
铪	opomr
锉	opoog
铧	opopj
镎	oporq
仳	opp
偕	oppa
铋	opph
锪	opphp
钓	oppi
钩	oppi
钧	oppim
锴	opppa
铇	oppru
钝	oppu
钨	oppvm
锲	opqhk
铸	opqki
锖	opqmb
佝	opr
铞	oprlb
锃	oprmg
锅	oprob
铝	oprr
锷	oprrs
佨	opru
铒	opsj
镊	opsje
锯	opsjr
锓	opsme
镠	opsmh
铌	opsp
钷	opsr	ops'r
钜	opss
锔	opssr	opss'r
伳	opt
错	opta
镆	optak
铹	optbs
镨	optca
镤	optco
镒	optct
偞	optd
镁	optgk
锘	optkr
锳	optlk
钳	optm	opt'm
镬	optoe
镃	optvi
锚	optw
铓	optyv
岱	opu
伅	opu
钆	opu
镚	opubb
铠	opusu
钕	opv
铷	opvr
镴	opvvv
锱	opvvw
钿	opw
锞	opwd
锂	opwg
黛	opwgf
锢	opwjr	opw'jr
铟	opwk	opw'k
钾	opwl
镯	opwli
锣	opwln
镮	opwlv
锶	opwp
镙	opwvf
钋	opy
镑	opybs
镝	opycb
铰	opyck
镦	opydk
钪	opyhn
