倻	osjl
倨	osjr
伊	osk
伛	osk
仭	osk
侰	oskr
仺	osm	os'm
侵	osme
偓	osmg
僇	osmh
伺	osmr
儖	osmt
倀	osmv
僝	osnd
飮	osno
伬	oso
侭	osoy
怎	osp
伲	osp
傌	osqf
僻	osrj
傴	osrr	os'rr
佢	oss
侷	ossr	oss'r
偋	ostt
仓	osu
倔	osuu
借	ota
倎	otbc
儰	otbf
偂	otbn
供	otc
僕	otco
僛	otco
偤	otcw
橆	otdd
無	otf
儀	otgi
僐	otgr
備	othb
儰	otif
偌	otkr
僙	otlc
偀	otlk
僅	otlm
傼	otlo
佄	otm	ot'm
倛	otmc
偡	otmv
舞	otniq
儺	otog
僃	otpb
僷	otpd
佯	otq
傞	otqm
儆	otrk
傇	otsj
併	ott
傋	ottb
僐	ottr
傮	otwa
僔	otwi
儚	otwn
僼	otwt
儂	otwv
傔	otxc
仙	ou
仚	ou
屳	ou
罎	ouami
傰	oubb
罁	oubtu	oub'tu
儍	ouce
缺	oudk
缽	oudm
缹	ouf
罉	oufbq
缿	ouhmr
戗	oui
罀	oulmo
创	ouln
缸	oum
偳	oumb
缻	oumvn
罈	oumwj
缼	ouno
儶	ouob
催	ouog
侺	ouon
鸧	oupym
缷	ousl
罐	outrg
缾	outt
罇	outwi
罆	ouwjc
缾	ouyjj
諐	ouymr
罅	ouypd
罏	ouypt
伮	ove
