僟	ovii
似	ovio
侞	ovr
儠	ovvv
佃	ow
伵	owc	ow'c
倮	owd
俚	owg
毎	owj
個	owjr	ow'jr
侽	owks
偶	owlb
儸	owlg
儇	owlv
偎	owmv
偲	owp
佪	owr	ow'r
傫	owvf
儽	owwf
儡	owww
每	owyi	owy'i
韽	owyta
仆	oy
仒	oy
倬	oyaj
偙	oybb
偵	oybc
侦	oybo
儱	oybp
傍	oybs
佼	oyck
儭	oydu
儏	oyed
俶	oyfe
僦	oyfu
住	oyg
偐	oyhh
伉	oyhn
仿	oyhs
依	oyhv
緐	oyhvf
俼	oyib
僆	oyjj
倂	oyjj
伩	oyk
傚	oykk
侪	oykl
俲	oyks
勄	oyks
企	oylm
儙	oylr
仩	oym
佌	oymp
信	oymr
佧	oymy
倅	oyoj
敏	oyok
偨	oypd
俿	oypn
儢	oypp
俿	oypu
佔	oyr
儲	oyra
傐	oyrb
倞	oyrf
傠	oyri
停	oyrn
儫	oyro
儴	oyrv
偯	oyrv
倣	oysk
偼	oyso
位	oyt
偣	oyta
僮	oytg
傽	oytj
億	oytp
倍	oytr
傡	oytt
傹	oytu
倿	oytv
禽	oyub
伭	oyvi
侅	oyvo
侫	oyvv
傗	oyvw
儃	oywm
儕	oyx
毓	oyyiu
心	p
旬	pa
旨	pa
愠	pabt
銞	pac
愰	pafu
鶛	pahaf
鴲	pahaf
惺	pahm
匓	paie
慨	paiu
