勓	paks
怛	pam
愓	pamh
悍	pamj
惿	pamo
憪	panb
憫	pank
郇	panl
惕	paph
惃	papp
愒	papv
懪	pate
恨	pav
慢	pawe
憬	payf
慏	pbac
愲	pbbb
懓	pbbe
惻	pbcn
墯	pbg
惆	pbgr	pb'gr
慆	pbhx
惲	pbjj
恽	pbkq
怚	pbm
惧	pbmc
愋	pbme
懚	pbmp
恫	pbmr	pb'mr
憏	pbof
恻	pbon
愮	pbou
惘	pbtv	pb'tv
眞	pbuc
戄	pbue
懼	pbug
悓	pbuu
慀	pbvk
惍	pc
鷆	pchaf
忪	pci
慃	pcim
恱	pciu
勩	pcks
顚	pcmbc
悌	pcnh
悅	pcru
悦	pcru
憎	pcwa
惮	pcwj
也	pd
惏	pdd
憷	pddo
鵴	pdhaf
怶	pdhe
忖	pdi
快	pdk
悚	pdl
懶	pdlc
懒	pdlo
穎	pdmbc
颖	pdmbo
愇	pdmq
乸	pdwyi	pdwy'i
惙	peee
怪	peg
慅	peii
潁	pembc
颍	pembo
怿	peq
灳	pf
悄	pfb
戃	pfbf
憆	pfbg
惝	pfbr	pfb'r
匊	pfd
憐	pfdq
惔	pff
憦	pffs
頴	pfmbc
熲	pfmbc
顈	pfmbc
颕	pfmbo
颎	pfmbo
恍	pfmu
怑	pfq
惓	pfqu
慻	pfqu
悩	pfuk	pfu'k
懗	pgcc
恃	pgdi
憢	pggu
怯	pgi
懤	pgni
懎	pgow
恄	pgr
懛	pgrg
憘	pgrr
慠	pgsk
憉	pgth
