怙	pjr
悺	pjrr
駂	pjsqf
憤	pjtc
愤	pjto
忕	pk
匁	pk
憭	pkcf
恢	pkf
忲	pki
匆	pkk
悕	pkkb
恡	pkki
慡	pkkk
怖	pklb
恠	pklg
肄	pklq
匎	pklu
惰	pkmb
恗	pkms
恞	pkn
勼	pkn
疑	pknio
忰	pknj
欵	pkno
愱	pkok
悏	pkoo
怱	pkp
惭	pkql
忇	pks
愶	pksb
恊	pkss
忡	pl
怏	plbk
忱	plbu
悭	pleg
怫	plln
慺	pllv
憒	plmc
愦	plmo
恌	plmo
悱	plmy
懻	plpc
悯	plsk
怞	plw
勺	pm
懨	pmak
恒	pmam
懦	pmbb
頃	pmbc
愩	pmbc
懮	pmbe
愞	pmbk
恆	pmbm
顷	pmbo
恓	pmcw
怀	pmf
怦	pmfj
匉	pmfj
怌	pmfm
忹	pmg
恎	pmig
恹	pmik
恸	pmis
忓	pmj
鸵	pmjp
怃	pmku
勻	pmm
忶	pmmi
悟	pmmr
忨	pmmu
忊	pmn
邬	pmnl
怲	pmob
匐	pmrw
愊	pmrw
鹱	pmtoe
憯	pmua
慄	pmwd
憟	pmwd
慓	pmwf
憛	pmwj
愐	pmwl	pmw'l
怔	pmym
忆	pn
乜	pn
悗	pnau
愌	pnbk
懈	pnbq
愑	pnbs
憺	pncr
忸	png
憰	pnhb
忣	pnhe
惂	pnhx
匇	pni	pn'i
悀	pnib
恀	pnin
忬	pnin
憜	pnlb
