愵	pnmm
恑	pnmu
忺	pno
憕	pnot
惤	pnyi
长	po
勽	po
愎	poae
慯	poah
恘	pod
惟	pog
愯	poge
憔	pogf
懏	pogs
怜	poii
懺	poim
忴	poin
惗	poip
愴	poir
忤	poj
匋	poju
勚	poks
忦	poll
懀	poma
惀	pomb
悇	pomd
恮	pomg
愉	pomn
忾	pomn
憸	pomo
恰	pomr
匌	pomr
忔	pon
觺	ponbg	ponb'g
觺	ponbq	ponb'q
愾	pond
怍	pos
怆	posu
憮	potf
悔	powy
比	pp
匂	pp
恂	ppa
恉	ppa
惸	ppad
愼	ppbc
枈	ppd
忚	ppd
粊	ppfd
坒	ppg
怭	pph
皆	ppha
惚	pphp
毞	pphqu
毕	ppj
懝	ppko
愡	ppkp
毙	ppmnp
怅	ppo
惢	ppp
橤	pppd
繠	pppf
悂	pppg
毖	ppph
怐	ppr
怉	ppru
怈	ppt
惵	pptd
忳	ppu
恟	ppuk	ppu'k
懳	pqjp
情	pqmb
愫	pqmf
慠	pqsk
句	pr
吢	pr
悒	prau
悁	prb
愪	prbc
怾	prc
鴝	prhaf
悜	prhg
斪	prhml
怳	prhu
劬	prks
悜	prmg
悮	prmk
够	prnin
邭	prnl
欨	prno
雊	prog
敂	prok
惽	prpa
鸲	prpym
懆	prrd
憚	prrj
愕	prrs
包	pru
悞	prvk
怋	prvp
