鋤	cbms
鋢	cbnd
鎐	cbou
錚	cbsd
銏	cbt
鋼	cbtu	cb'tu
鉬	cbu
鋇	cbuc
钁	cbue
鑺	cbug
鐤	cbul
鋧	cbuu
鋖	cbv
鍂	cc
釡	cc
釟	cc
鑫	ccc
鈆	cci
鎓	ccim
銻	ccnh
鋊	ccor
鉛	ccr
銳	ccru
鋭	ccru
鈖	ccsh
鏳	ccwa
鈢	cd
鑻	cddq
錰	cdf
釮	cdh
鈹	cdhe
鈌	cdk
鋉	cdl
鏉	cdlo
鉢	cdm
鍏	cdmq
錸	cdoo
錬	cdw
鍊	cdwf	cdw'f
淾	ce
錔	cea
鐋	ceah
鎟	ceed
錣	ceee
鍅	cegi
鎃	cehv
釵	cei	cei
釵	cei	ce'i
鈥	cf
釥	cf
銷	cfb
鏛	cfbb
鎖	cfbc
鑜	cfbc
鏿	cfbd
钂	cfbf
鏜	cfbg
鐣	cfbq
鋿	cfbr	cfb'r
鎲	cfbu
鐺	cfbw
銤	cfd
鏻	cfdq
錟	cff
鑅	cffd
鐒	cffs
鈔	cfh
銧	cfmu
鉡	cfq
錈	cfqu
釷	cg
錂	cgce
錴	cgcg
銈	cgg
鐃	cggu
鉣	cgi
鎑	cgit
鑄	cgni
鋕	cgp
銡	cgr
鎱	cgrv
鑟	cgwc
鉑	cha
錦	chab
鵭	chaf
鍠	chag
鎫	chbe
鐭	chbk
銄	chbr	chb'r
鉌	chd
鏼	chdb
鍬	chdf
鋓	chdn
鏭	chdp
銹	chds
鋵	chdu
錗	chdv
鐇	chdw
鈑	che
鋒	chej
