摣	qypm
據	qypo
攄	qypp
摅	qypp
擄	qyps
掳	qyps
攎	qypt
拈	qyr
搞	qyrb
掠	qyrf
揨	qyrn
攘	qyrv
揓	qysd
拉	qyt
揞	qyta
撞	qytg
掊	qytr
摬	qytu
接	qytv
摛	qyub
擁	qyvg
撁	qyvq
搐	qyvw
擅	qywm
擠	qyx
抃	qyy
擿	qyyb
口	r
唱	raa
嗢	rabt
唧	rail
嘅	raiu
呾	ram
啺	ramh
哻	ramj
嗮	ramw
嚪	ranx
喝	rapv
嘬	rase
嚗	rate
吧	rau
邑	rau
哏	rav
敯	raye
喅	rayt
肙	rb
嗗	rbbb
噯	rbbe
嗳	rbbe
喎	rbbr	rbb'r
囎	rbca
嚶	rbcv
啋	rbd
哷	rbdi
啂	rbdu
啁	rbgr	rb'gr
鵑	rbhaf
噅	rbhf
喗	rbjj
嘫	rbkf
剐	rbln
剈	rbln
咀	rbm
喛	rbme
哃	rbmr	rb'mr
瓹	rbmvn
哹	rbnd
员	rbo
呗	rbo
嗂	rbou
嘤	rbov
鹃	rbpym
翤	rbsmm
嗣	rbsmr
員	rbuc
唄	rbuc
哯	rbuu
哸	rbv
嗘	rbvk
嚼	rbwi
只	rc
叭	rc
唫	rc
鶰	rchaf
嗡	rcim
嗲	rckn
勛	rcks
吖	rcl
嘦	rcmwv
鄖	rcnl
唂	rcor
哾	rcru
吩	rcsh
噌	rcwa
啴	rcwj
呆	rd
喳	rdam
啉	rdd
噤	rddf
唽	rdhl
