鉻	cher
鉖	chey
鈓	chg
鑂	chgf
銩	chgi
鋯	chgr
銑	chgu
鵜	chhaf
鳻	chhaf
鑗	chhe
釤	chhh
鉚	chhl
鎦	chhw
釺	chj
銖	chjd
鍛	chje
鍾	chjg
錘	chjm
銛	chjr
鍎	chju
鍤	chjx
鐈	chkb
鑕	chlc
剃	chln
釽	chlo
鍁	chlo
頒	chmbc
颁	chmbo
釿	chml
銗	chmr
釠	chn
鏫	chnd
鈠	chne
釩	chni	chn'i
邠	chnl
鉛	chnr
攽	chok
鏦	choo
錉	chpa
銽	chpr
鹈	chpym
鈝	chq
鋨	chqi
鉎	chqm
鉄	chqo
鎢	chrf
鈩	chs
鍽	chsb
錑	chsk
尣	chu
鑙	chua
鑽	chuc
鎳	chud
鎴	chup
鈲	chvo
錍	chwj
鏓	chwp
鎞	chwp
鎪	chxe
銵	chxh
公	ci
鈛	ci
鋃	ciav
鎛	cibi
鋑	cice
枀	cid
鉥	cid
鎺	cifm
鏚	cihf
銊	cihm
鉾	cihq
鍼	cihr
鋮	cihs
鈗	cihu
兊	cihu
錢	cii
鉱	cii
鏒	ciih
鎯	ciil
鋪	cijb
鉥	cijc
銶	cije
鈸	cike
鈸	cikk
鏞	cilb
鏮	cile
銂	cill
鎕	cilr
頌	cimbc
颂	cimbo
瓮	cimn
銢	cine
忩	cip
釴	cip
鑣	cipf
鉽	cipm
鋱	cipp
銭	ciq
鈶	cir
鈩	cis
