哵	rrsn
駡	rrsqf
噀	rruc
嘂	rrvlr
呡	rrvp
單	rrwj
嘼	rrwmr
鼉	rrwmu
鼍	rrwmu
哫	rryo
唰	rsbn
覨	rsbuu
囑	rsei
叨	rsh
叧	rsh
鶚	rshaf
鴞	rshaf
嘱	rshb
嚂	rsit
咠	rsj
咡	rsj
嗫	rsje
囁	rsjj
啹	rsjr
呕	rsk	rs'k
吚	rsk
𫪘	rsko
叩	rsl
咂	rslb	rs'lb
別	rsln
别	rsln
叼	rsm
顎	rsmbc
颚	rsmbo
唚	rsme
喔	rsmg
嚁	rsmg
哐	rsmg	rs'mg
嘐	rsmh
噚	rsmi
噿	rsmj
呞	rsmr
嚂	rsmt
鄂	rsnl
呎	rso
飸	rsoiv
呢	rsp
鹗	rspym
鸮	rspym
嗎	rsqf
哪	rsql
噼	rsrj
嘔	rsrr	rs'rr
叚	rsse
卾	rssl
啒	rsuu
囕	rswu
號	rsypn
號	rsypu
唶	rta
嗼	rtak
噶	rtav
囒	rtaw
唺	rtbc
唠	rtbs
哄	rtc
嘶	rtcl
噗	rtco
嗌	rtct
囈	rtgi
嚉	rtgi
唴	rtgu
嚡	rtjg
嘞	rtjs
哎	rtk
咲	rtk
喏	rtkr
嚥	rtlf
嘆	rtlo
咁	rtm	rt'm
唭	rtmc
嘩	rtmj
哶	rtmj
啿	rtmv
呓	rtn
囌	rtnd
嗏	rtod
嚄	rtoe
嗒	rtor
嗬	rtor
嚿	rtox
咩	rtq
嗟	rtqm
唴	rtqu
嚾	rtrg
嗍	rtub
嗴	rtui
嗞	rtvi
喵	rtw
嘈	rtwa
