鞔	tjnau
韂	tjncr
孽	tjnd
茡	tjnd
靵	tjng
鞣	tjnhd
靸	tjnhe
鞃	tjni
鞬	tjnkq
靷	tjnl
鄿	tjnl
菀	tjnu
蓿	tjoa
靹	tjob
靲	tjoin
鞭	tjomk
鞈	tjomr
靴	tjop
鞥	tjort
蓍	tjpa
鞠	tjpfd
靮	tjpi
藌	tjpi
靮	tjpm
薴	tjpn
鞄	tjpru
靾	tjpt
鞢	tjptd
蔤	tjpu
荛	tjpu
鞫	tjpyr
藼	tjqp
鞡	tjqyt
苦	tjr
葫	tjrb
鞙	tjrb
鞓	tjrmg
菅	tjrr
躠	tjryo
靭	tjshi
鞀	tjshr
靱	tjsk
韊	tjtaw
蕡	tjtc
鞧	tjtcw
鞴	tjthb
韉	tjtif
鞯	tjtkd
鞾	tjtmj
韄	tjtoe
鞳	tjtor
藆	tjtq
鞲	tjttb
韈	tjtwi
荌	tjv
鞿	tjvii
靿	tjvis
莗	tjwj
鞇	tjwk	tjw'k
鞸	tjwtj
鞹	tjydl
韃	tjygq
鞑	tjyk
韆	tjymu
鞐	tjymy
鞟	tjyrd
鞛	tjytr
关	tk
艾	tk
芖	tk
蔱	tkce
檠	tkd
蔱	tkde
苃	tke
蕏	tkha
鶧	tkhaf
鴱	tkhaf
荻	tkhf
莥	tkhg
藱	tkhi
获	tkhk
莸	tkhu
蕕	tkhw
葢	tkit
莾	tkjt
莃	tkkb
荐	tkld
茬	tklg
蟼	tklmi
苅	tkln
菴	tklu
萘	tkmf
荂	tkms
荑	tkn
艽	tkn
芄	tkni
鄭	tknl
郑	tknl
鄚	tknl
蒺	tkok
