苬	two	tw'o
蒕	twot
葸	twp
鹋	twpym
茴	twr	tw'r
蓽	twtj
蔂	twvf
蘽	twwd
虆	twwf
蘲	twwg
藟	twww
苺	twyi	twy'i
兼	txc
蒂	tybb
薖	tybb
蘺	tybg
藃	tybo
蘢	tybp
蒡	tybs
蔏	tycb
蔐	tycb
茭	tyck
萒	tycu
蔉	tycv
蓘	tycv
薪	tydl
藗	tydo
藽	tydu
薒	tyed
蒾	tyfd
菽	tyfe
薘	tygq
薳	tygv
蘋	tyhc
蓬	tyhj
菦	tyhl
苀	tyhn
芳	tyhs
蒁	tyid
茺	tyiu
蓮	tyjj
芠	tyk
荙	tyk
荠	tykl
萕	tykl
莲	tykq
芾	tylb
荹	tylh
芷	tylm
蘃	tymd
茮	tymf
薉	tymh
蕋	tymm
蓫	tymo
茈	tymp
蓪	tynb
藙	tyoe
萃	tyoj
蔖	typm
萀	typn
藘	typp
蘆	typt
萀	typu
苫	tyr
藷	tyra
蒿	tyrb
藳	tyrd
藁	tyrd
蘐	tyre
蔎	tyre
蕸	tyre
蔀	tyrl
葶	tyrn
薧	tyrp
蘘	tyrv
藹	tyrv
葹	tysd
蔟	tysk
虀	tysm
蔙	tyso
菸	tysy
苙	tyt
萻	tyta
蕫	tytg
莘	tytj
蔁	tytj
薏	tytp
菩	tytr
蒟	tytr
菨	tytv
蓠	tyub
芒	tyv
蕹	tyvg
荄	tyvo
莣	tyvp
荒	tyvu
蓄	tyvw
蓾	tywi	tyw'i
蓑	tywv
薺	tyx
