屽	umj
蚩	umli
峺	umlk
亗	umm
岸	ummj
峿	ummr
岏	ummu
嶏	ummu
嵿	umnc
峛	umnn
峢	umnn
岢	umnr
嵟	umog
嶳	umog
豳	umoo	u'moo
岩	umr
豈	umrt
岍	umt
巁	umtb
崋	umtj
嶡	umto
嶥	umto
屼	umu
嶜	umua
妛	umv
岈	umvh
崾	umwv
嶑	unao
嶰	unbq
崅	unbq	unb'q
嶦	uncr
函	une	u'ne
岌	unhe
岋	unhe
屷	unhs
岁	uni
嵹	unii
邖	unl
嶐	unlm
刿	unln
嵶	unmm
峗	unmu
峞	unmu
嶝	unot
嵥	unqd
凾	unre	u'nre
巉	unri
嵹	unri
峥	unsd
翙	unsmm
崔	uog
巂	uogb
雟	uogb
嶕	uogf
嶣	uogf
嶲	uogs
嶺	uoic
岭	uoii
岺	uoii
岑	uoin
岒	uoin
嵢	uoir
峳	uolk
岕	uoll
岴	uom
崙	uomb
崘	uomb
峑	uomg
崄	uomm
崳	uomn
嵛	uomn
嶮	uomo
峇	uomr
峆	uomr
屹	uon
嵚	uopo
嶖	uorm
岝	uos
岞	uos
峜	uoym
峋	upa
巓	upcc
岉	uphh
嶷	upko
岣	upr
崝	uqmb
嶊	uqog
岲	urhu
嶯	urji
嶉	urog
巖	urrk
巗	urrk
嵓	urrr
崿	urrs
岷	urvp
辥	urytj
嶎	usfi
屶	ush
岃	ushi
屻	ushi
