郭	ydnl
歑	ydno
雜	ydog
敦	ydok
敹	ydok
逨	ydoo
鹑	ydpym
嚲	ydrrj
攴	ye
督	yebu
錖	yec
梷	yed
逫	yeee
粲	yefd
逤	yefh
壑	yeg
韰	yelsm
餐	yeoiv
惄	yep
裻	yeyhv
逍	yfb
迷	yfd
遴	yfdq
叔	yfe
鶁	yfhaf
就	yfiku
勍	yfks
剠	yfln
敊	yfye
主	yg
逵	ygcg
遶	yggu
殶	yghne
氃	yghqu
迲	ygi
褻	ygiv
勭	ygks
虧	ygmms
逇	ygpd
迼	ygr
遠	ygrv
遨	ygsk
逹	ygtj
達	ygtq
逺	ygvo
逺	ygvv
广	yh	i
迫	yha
鳪	yhaf
遑	yhag
亹	yhbm
逈	yhbr	yhb'r
透	yhds
逶	yhdv
褎	yhdv
襃	yhdv
返	yhe
逢	yhej
逄	yheq
造	yhgr
选	yhgu
邌	yhhe
彦	yhhhh
産	yhhqm
裦	yhhv
遛	yhhw
褢	yhiv
迁	yhj
适	yhjr
遁	yhju
劌	yhln
頻	yhmbc
顏	yhmbc
顪	yhmbc
顔	yhmbc
频	yhmbo
颜	yhmbo
近	yhml
遾	yhmo
逅	yhmr
亢	yhn
袠	yhov
逓	yhqb
迭	yhqo
追	yhrr
方	yhs
遍	yhsb
邀	yhsk
翽	yhsmm
邉	yhur
邊	yhus
衣	yhv
迎	yhvl
邍	yhwe
褏	yhwv
亷	yhxc
遚	yhxe
裒	yhxv
遞	yhyn
遞	yhyu
