育	yib
逡	yice
述	yid
熟	yif
玅	yifh
塾	yig
充	yihu
斔	yihxo
遪	yiih
逋	yijb
述	yijc
逑	yije
迖	yik
螤	yilwo
孶	yind
玈	yiohv
率	yioj
逘	yiok
迨	yir
袬	yirv
遍	yisb
弃	yit
棄	yitd
遮	yitf
夣	yiwn
玆	yiyvi
斗	yj
辻	yj
遖	yjbj	yjb'j
邃	yjco
辣	yjdl
鵫	yjhaf
贛	yjhec
竷	yjhee
赣	yjheo
彰	yjhhh
瓣	yjhoj
辨	yjilj
辩	yjivj
辦	yjksj
蠭	yjlii
贑	yjmbc
顇	yjmbc
乧	yjn
鄣	yjnl
迱	yjp
逭	yjrr
辧	yjshj
乵	yju
辮	yjvfj
辫	yjvmj
連	yjwj
幷	yjyj
甁	yjyjn
辬	yjykj
辯	yjyrj
辡	yjytj
文	yk
头	yk
达	yk
斕	ykanw
迶	ykb
斍	ykbuu
鐜	ykc
遼	ykcf
対	ykdi
墪	ykg
鵁	ykhaf
鷟	ykhaf
鳼	ykhaf
鴍	ykhaf
鸆	ykhaf
鵺	ykhaf
斖	ykhbm
逖	ykhf
逛	ykhg
彣	ykhhh
斒	ykhsb
迏	yki
斏	ykiav
斒	ykisb
逩	ykjt
効	ykks
螡	yklii
齐	ykll
齑	yklll
蚉	yklmi
斎	yklml
刘	ykln
斓	yklsw
遀	ykmb
頝	ykmbc
斋	ykmbl	ykmb'l
彥	ykmhh
產	ykmhm
斌	ykmpm
斈	yknd
郊	yknl
效	ykok
忞	ykp
