憝	ykp
遰	ykpb
连	ykq
撉	ykq
吝	ykr
边	yks
斊	yksj
斉	yksl
迦	yksr
紊	ykvif
齾	ykymu
虠	ykypn
虠	ykypu
迚	yl
市	ylb
逮	yle
衷	ylhv
亣	yll
剂	ylln
剤	ylln
遱	yllv
止	ylm
遺	ylmc
步	ylmh
歩	ylmh
逃	ylmo
遗	ylmo
歨	ylmo
遣	ylmr
亦	ylnc
迪	ylw
迧	ylwl
裵	ylyv
上	ym
辷	ym
氵	ym
肯	ymb
逦	ymbb
赟	ymbo
贇	ymbuc
覷	ymbuu
覰	ymbuu
迺	ymcw
逎	ymcw
迂	ymd
皽	ymdhe
皻	ymdhe
还	ymf
尗	ymf
邇	ymfb
迋	ymg
歭	ymgdi
鸇	ymhaf
歬	ymhby
歱	ymhjg
氈	ymhqu
衺	ymhv
戱	ymi
歳	ymihf
歲	ymihh
迀	ymj
歧	ymje
迗	ymk
勯	ymks
迊	ymlb
剷	ymln
顫	ymmbc
頉	ymmbc
颤	ymmbo
运	ymmi
邐	ymmp
悥	ymmp
言	ymmr
逜	ymmr
訁	ymmr
迃	ymms
远	ymmu
迾	ymnn
歔	ymno
欤	ymno
仧	ymo
此	ymp
忐	ymp
雌	ympog
鹯	ympym
歵	ymqmc
逗	ymrt
逼	ymrw
迈	yms
逐	ymso
歫	ymss
歯	ymufd	ymu'fd
齿	ymuo	ymu'o
齒	ymuoo	ymu'oo
迓	ymvh
逕	ymvm
遷	ymwu
卡	ymy
歮	ymymm
逸	ynai
