斾	ysolb
斺	ysoll
旐	ysolo
韲	ysom
旚	ysomf
旊	ysomn
斿	ysond
旋	ysono
旝	ysooa
旍	ysooi
族	ysook
施	ysopd
旎	ysosp
旗	ysotc
於	ysoy
旜	ysoym
旒	ysoyu
迡	ysp
鸬	yspym
遤	ysqf
避	ysrj
遅	ystq
旘	ysyia
旈	ysyiu
遟	ysyj
旞	ysyoo
立	yt
音	yta
暜	yta
逪	yta
竟	ytahu
章	ytaj
意	ytap
竭	ytapv
竫	ytbsd
覻	ytbuu
竕	ytcsh
遒	ytcw
竲	ytcwa
亲	ytd
竦	ytdl
竗	ytfh
产	yth
鸕	ythaf
鴗	ythaf
竏	ythj
竬	ythlb
竌	ythn
竐	ythne
颯	ythni	ythn'i
飒	ythnk	ythn'k
竓	ythqu
竔	ytht
道	ythu
竧	ythxh
戲	yti
竣	ytice
蒁	ytid
竢	ytiok
辛	ytj
竍	ytj
竩	ytjbm
攱	ytje
竱	ytjii
竤	ytjki
竚	ytjmn
送	ytk
竑	ytki
逽	ytkr
竡	ytma
顱	ytmbc
竵	ytmrb
竰	ytmwg
竳	ytnot
竒	ytnr
竫	ytnsd
遳	ytog
竛	ytoii
遂	ytpo
豙	ytpo
竘	ytpr
靖	ytqmb
咅	ytr
竞	ytrhu
翊	ytsmm
竮	ytstt
进	ytt
迸	ytt
竎	ytt
遘	yttb
竴	yttwi
逆	ytu
遡	ytub
端	ytumb
妾	ytv
遭	ytwa
邁	ytwb
童	ytwg
遵	ytwi
竜	ytwu
