邙	yvnl
膐	yvobo	yvob'o
賌	yvoc
忘	yvp
吂	yvr
氓	yvrvp
妄	yvv
巡	yvvv
邋	yvvv
亩	yw
裹	ywdv
裏	ywgv
畆	ywi
鹹	ywihr
鹵	ywii	yw'ii
遦	ywjc
卤	ywk	yw'k
禼	ywkb
卥	ywkk	yw'kk
遇	ywlb
遝	ywle
遝	ywlf
邏	ywlg
逻	ywln
還	ywlv
褱	ywlv
衰	ywmv
鄐	ywnl
畝	ywno
畒	ywo
鹷	ywoii
鹶	ywoin
鹼	ywomo
鹸	ywomo
迴	ywr	yw'r
稟	ywrd
禀	ywrf
亶	ywrm
卣	yws	yw's
逥	ywsl	yw'sl
鹺	ywtqm
鹾	ywtqm
鹻	ywtxc
齊	yx
齍	yxbt
齎	yxbuc
齋	yxf
齌	yxf
劑	yxln
齏	yxlsm
卞	yy
逴	yyaj
遆	yybb
遉	yybc
適	yycb
迬	yyg
遃	yyhh
迒	yyhn
逳	yyib
逬	yyjj
这	yyk
迹	yylc
這	yymr
乻	yyn
遽	yypo
迠	yyr
旕	yyrp
遊	yysd
遧	yytj
邅	yywm
逌	yyws	yyw's
的	x
曰	xa
昍	xaa
晿	xaaa
曐	xaaam
冐	xab
暧	xabbe
暉	xabjj
晖	xabkq
炚	xaf
顥	xafmb
晄	xafmu
暤	xahaj
晑	xahbr
甠	xahqm
晠	xaihs
旪	xaj
暏	xajka
晀	xalmo
曧	xambi
旰	xamj
昞	xamob
鼌	xamru
冕	xanau
閲	xancr
欥	xano
昒	xaphh
暅	xapmm
煦	xarf
