晎	xatc
曅	xatmj
旵	xau
昢	xauu
妟	xav
鷃	xavha
昘	xayhs
旼	xayk
晾	xayrf
肎	xbb
冝	xbbm
髄	xbbyk
鸎	xbcha
郥	xbcnl
贁	xbcok
脱	xbcru
肦	xbcsh
寽	xbdi
脒	xbfd
縢	xbfqf
膡	xbfqu
戵	xbgi
冗	xbhn
膬	xbhuu
脧	xbice
肞	xbik
罓	xbk
脎	xbkd
脄	xbkf
鶪	xbkha
肽	xbki
肍	xbkn
脁	xblmo
腗	xblwl
肛	xbm
冎	xbmlb
刞	xbmln
冃	xbmm
冨	xbmrw
冢	xbmso
脕	xbnau
贱	xboij
胊	xbpr
冊	xbt
臟	xbtis
肼	xbtt
冚	xbu
覞	xbubu
瞗	xbuha
覹	xbuho
瞚	xbujm
瞆	xbulm
觃	xbund
睢	xbuog
矅	xbusm
胐	xbuu
肗	xbv
鵎	xbvha
臅	xbwli
腣	xbybb
膧	xbytg
釡	xcc
鋭	xccru
釥	xcf
鑜	xcfbc
鳻	xchha
鍁	xchlo
鎞	xchwp
鈛	xci
鉥	xcid
兊	xcihu
鉱	xcii
釴	xcip
鑛	xcitc
鑔	xcjbf
鏔	xcjmc
鎵	xcjmo
釱	xck
鈦	xcki
釚	xckn
鈡	xcl
錽	xcmfe
鋔	xcnau
弚	xcnl
鐊	xcnlh
鏹	xcnri
鎸	xcogs
鋡	xcoir
鉓	xcolb
錀	xcomb
鈋	xcop
鈎	xcpi
兑	xcrhu
懖	xcrp
釖	xcsh
蚠	xcshi
麄	xcshp
弅	xcsht
鑖	xctwi
鑁	xcuce
