鏃	cysk
鏇	cyso
鉝	cyt
鐘	cytg
鋅	cytj
鏱	cytj
鎹	cytk
鐩	cyto
鐿	cytp
錇	cytr
鏡	cytu
釯	cyv
鉉	cyvi
鏲	cyvq
鏀	cywi	cyw'i
鑇	cyx
木	d
杳	da
椙	daa
橸	daaa
榅	dabt
榥	dafu
榯	dagi
楣	dahu
楖	dail
概	daiu
查	dam
柦	dam
楊	damh
棏	dami
桿	damj
椚	dan
橺	dana
橌	danb
橍	dang
櫚	danr
櫊	danr
欄	danw
櫩	danx
棍	dapp
楬	dapv
樶	dase
榻	dasm
杷	dau
櫭	daum
根	dav
槾	dawe
朿	db
枂	db
榠	dbac
棚	dbb
榾	dbbb
栅	dbbm
橓	dbbq
楇	dbbr	dbb'r
棎	dbcd
櫻	dbcv
棌	dbd
棘	dbdb
棗	dbdb
橳	dbfs
椆	dbgr	db'gr
枧	dbhu
槄	dbhx
楎	dbjj
橪	dbkf
刺	dbln
査	dbm
柤	dbm
椇	dbmc
楥	dbme
枏	dbmm
檼	dbmp
桐	dbmr	db'mr
桴	dbnd
僰	dbo
敇	dbok
榣	dbou
樱	dbov
棦	dbsd
棴	dbse
柵	dbt
棡	dbtu	db'tu
棢	dbtv	db'tv
相	dbu
梖	dbuc
欔	dbue
櫾	dbuf
欋	dbug
檙	dbul
梘	dbuu
桵	dbv
榽	dbvk
枣	dby
枬	dby
朳	dc
朩	dc
檭	dcav
椕	dchd
松	dci
