鯈	xolof
倏	xolok
仝	xom
俪	xombb
嵞	xomdu
伾	xomfm
仼	xomg
伝	xommi
佱	xommm
僫	xommp
侲	xommv
气	xomn
侴	xomnn
欫	xomno
佦	xomr
仾	xomvm
僳	xomwd
亿	xon
伃	xonin
伄	xonl
刏	xonln
欦	xonno
偦	xonob
仌	xoo
燞	xoof
倠	xoog
剣	xooln
倹	xoomo
倽	xoomr
怂	xoop
剱	xoosh
剱	xoosk
仑	xop
贷	xopbo
貸	xopbu
柋	xopd
钍	xopg
针	xopj
镓	xopjm
镪	xopnr
钩	xoppi
伅	xopu
铱	xopyh
铳	xopyi
锿	xopyr
鶬	xorha
舗	xorij
頷	xormb
颌	xormb
聟	xorsj
翖	xorsm
伛	xosk
伲	xosp
僛	xotco
仚	xou
仒	xoy
倂	xoyjj
勄	xoyks
偯	xoyrv
旨	xpa
鴲	xpaha
悦	xpcru
熲	xpfmb
颎	xpfmb
慻	xpfqu
曶	xpha
悷	xphsk
勺	xpi
悑	xpijb
匁	xpk
勼	xpkn
恌	xplmo
愩	xpmbc
匉	xpmfj
愊	xpmrw
憟	xpmwd
乜	xpn
忬	xpnin
勽	xpo
忾	xpomn
匌	xpomr
匂	xpp
恉	xppa
忚	xppd
吢	xpr
忉	xpsh
贳	xptbo
忷	xpuk
邨	xpunl
慛	xpuog
匘	xpvvw
悃	xpwd
匄	xpyv
懐	xpywv
擝	xqabt
掲	xqapp
摇	xqbou
捦	xqc
捝	xqcru
撹	xqfbu
