枩	dci
棇	dcip
枍	dcms
梯	dcnh
柗	dcr
梲	dcru
棁	dcru
枌	dcsh
橧	dcwa
椫	dcwj
林	dd
楂	ddam
栜	ddb
欎	ddbai
棾	ddbhn
鬱	ddbuh
鬰	ddbuh
鐢	ddc
棼	ddcsh
森	ddd
檚	dddo
櫇	ddec
焚	ddf
燓	ddf
埜	ddg
壄	ddg
材	ddh
柀	ddhe
彬	ddhh
梵	ddhni	ddhn'i
檒	ddhni	ddhn'i
村	ddi
椘	ddino
麓	ddixp
枺	ddj
樊	ddk
蠜	ddkli
礬	ddkmr
攀	ddkq
梀	ddl
櫴	ddlc
楋	ddln
樕	ddlo
禁	ddmmf
辳	ddmmv
椲	ddmq
梺	ddmy
梦	ddni	ddn'i
郴	ddnl
楚	ddnyo
棽	ddoin
棶	ddoo
懋	ddp
樷	ddsje
梾	ddt
婪	ddv
棟	ddw
榃	ddw
楝	ddwf	ddw'f
欝	ddwli
权	de
皹	debjj
樑	decd
树	dedi
槡	deed
棳	deee
桫	defh
柽	deg
杈	dei	dei
杈	dei	de'i
樑	deid
頗	dembc
颇	dembo
皯	demj
皰	depru
厀	desl
杰	df
梢	dfb
橖	dfbd
欓	dfbf
樘	dfbg
橕	dfbh
檔	dfbw
榉	dfcq
橉	dfdq
楼	dfdv
棪	dff
橩	dffj
橩	dffn
櫿	dffr
檆	dffr
橯	dffs
杪	dfh
隸	dfle
桄	dfmu
歀	dfno
柈	dfq
椦	dfqs
棬	dfqu
档	dfsm	dfs'm
