﹝	zxcp
﹞	zxcq
‘	zxcr
’	zxcs
“	zxct
”	zxcu
〝	zxcv
〞	zxcw
‵	zxcx
′	zxcy
「	yyyaa
」	yyyab
『	yyyac
』	yyyad
〈	yyyae
〉	yyyaf
《	yyyag
》	yyyah
（	yyyai
）	yyyaj
〖	yyyak
〗	yyyal
【	yyyam
】	yyyan
〔	yyyao
〕	yyyap
｛	yyyaq
｝	yyyar
→	yyyas
←	yyyat
↑	yyyau
↓	yyyav
↗	yyyaw
↘	yyyax
↖	yyyay
↙	yyyay
△	yyyba
▲	yyybb
▽	yyybc
▼	yyybd
◇	yyybe
◆	yyybf
□	yyybg
■	yyybh
☆	yyybi
★	yyybj
○	yyybk
●	yyybl
⊙	yyybm
◎	yyybn
╳	yyybo
※	yyybp
♂	yyybq
♀	yyybr
§	yyybs
’	yyybt
‘	yyybu
”	yyybv
“	yyybw
￥	yyybx
˙	yyyby
⊕	yyyca
℅	yyycb
￠	yyycc
￡	yyycd
℃	yyyce
℉	yyycf
°	yyycg
…	yyych
。	yyyco
÷	yyyda
±	yyydb
≦	yyydc
≧	yyydd
≠	yyyde
√	yyydf
＝	yyydg
∞	yyydh
≒	yyydi
≡	yyydj
∽	yyydk
∪	yyydl
∩	yyydm
∠	yyydn
⊿	yyydo
∫	yyydp
∮	yyydq
∵	yyydr
∴	yyyds
Ⅱ	yyyga
Ⅲ	yyygb
Ⅳ	yyygc
Ⅵ	yyygd
Ⅶ	yyyge
Ⅷ	yyygf
Ⅸ	yyygg
〡	yyygh
〢	yyygi
〣	yyygj
〥	yyygk
