桜	dfv
杜	dg
柟	dgb
棱	dgce
樯	dgcw
桂	dgg
槸	dggi
橈	dggu
榼	dgit
檮	dgni
樾	dgov
檣	dgow
梽	dgp
桔	dgr
檯	dgrg
橲	dgrr
榬	dgrv
樹	dgti
櫝	dgwc
榸	dgwg
才	dh
柏	dha
棉	dhab
楾	dhae
樢	dhaf
楻	dhag
槹	dhaj
槔	dhaj
櫛	dhal
梎	dhap
梍	dhap
槝	dhau
桖	dhbt
鼒	dhbul
櫸	dhcq
欅	dhcq
柇	dhd
楿	dhda
楸	dhdf
棅	dhdl
梸	dhdn
橎	dhdw
皮	dhe
板	dhe
桻	dhej
栙	dheq
格	dher
柊	dhey
檓	dhge
櫄	dhgf
梏	dhgr
鸉	dhhaf
橮	dhhc
杉	dhhh
榭	dhhi
柳	dhhl
榴	dhhw
櫆	dhij
柉	dhio
杄	dhj
櫡	dhja
株	dhjd
椴	dhje
棰	dhjm
栝	dhjr
楯	dhju
枖	dhk
橋	dhkb
桥	dhkl
楀	dhlb
櫍	dhlc
枛	dhlo
檓	dhme
析	dhml
栃	dhms
梔	dhmu
栀	dhmu
柝	dhmy
机	dhn
杸	dhne
楓	dhni	dhn'i
杋	dhni	dhn'i
枫	dhnk	dhn'k
桁	dhon
椼	dhon
樅	dhoo
杔	dhp
棔	dhpa
橁	dhpa
柢	dhpm
桰	dhpr
槪	dhpu
栍	dhqm
柣	dhqo
枆	dhqu
桘	dhrr
枦	dhs
楄	dhsb
檄	dhsk
棙	dhsk
