㬞	auav
䐴	aub
䀈	aubt
㮣	aud
㫞	aue
䊠	aufd
㬥	auud
㬧	auuf
㪞	auye
䇒	auyt
䳛	avhaf
㬎	avif
㔠	avks
㓭	avln
䫘	avmbc
㫽	avne
䨃	avog
㬂	awlb
㬅	awls
㬌	ayaf
㒿	aybg
㬚	aybk
㬑	aydl
㫔	aym
㬯	aynq
㬀	ayrd
㒾	aysd
㸓	ba
䐚	bail
䏷	bamj
䐎	bamo
䑌	banw
䐊	bapp
䯠	bbabt
䯜	bbaph
䯥	bbavf
䯞	bbbbr
䯎	bbcmj
䑍	bbcv
䐆	bbd
䯑	bbfmu
䯓	bbgg
䯏	bbhjr
䯒	bbhon
䯖	bbiav
䯙	bbijb
䯋	bbike
䯋	bbikk
䯔	bbjhp
䯘	bbjmu
䯛	bbjnu
䯝	bbkmb
䯇	bbks
䯣	bblmc
䏣	bbm
䫚	bbmbc
䐘	bbme
䯈	bbmmu
䯊	bbmnr
䯕	bbnkg
㽰	bbno
䯉	bbno
䯐	bbobo
䯍	bboii
䯤	bboma
䯎	bbomj
䯗	bbppg
㬹	bbsd
䯌	bbskn
䯟	bbtpo
䯦	bbtwi
䯡	bbtxc
䯆	bbu
䏹	bbuu
䯚	bbvib
䯠	bbwot
㓁	bc
䴍	bcbcf
䞈	bcbhf
䐉	bccw
䞆	bcfbc
䞉	bcfqc
䝰	bcgdi
㲘	bchqu
䝵	bcijb
䞈	bcikf
䐥	bcim
䐋	bcip
䝹	bcjnu
䫤	bcmbc
䞂	bcmbk
䝽	bcmgg
䞃	bcmgk
䞅	bcmvr
䒌	bcnau
䏲	bcnh
䝪	bcnyo
䝩	bcohh
䞀	bconk
䝯	bcopd
