䀗	budk
䀳	budl
䀑	buei
䁊	bueiu
䁖	bufdv
䁱	buggu
䀷	bugis
䁄	bugtj
䀱	buhej
䀩	buher
䀐	buhhh
䀒	buhj
䀨	buhjr
䀪	buhon
䁶	buhsk
䁛	buhui
䀥	buhvd
䀚	buhvl
䀶	buiav
䁍	buihr
䀯	buijb
䁭	buikk
䀵	buiok
䁣	bujii
䁪	bujjl
䀦	bujr
㮂	bukd
䡞	bukjj
䁆	buklu
䀓	bukni
䀹	bukoo
䋰	bukvf
䀟	bulln
䀻	bulws
䀖	bumk
䁰	bummc
䀼	bummv
䀘	bumt
䐩	bumt
䁮	bumua
䀴	bumvm
䀎	bumvs
䁏	bumwv
㐠	bun
䁅	bundt
䀽	bunkm
䀕	bunl
䂁	bunri
䁩	bunwf
䀢	buok
䀬	buomg
䀫	buomr
䁯	buorm
䀲	buowy
㦝	bup
䀣	buph
䀛	buphh
䀝	bupp
䀙	bupsh
䁋	buptd
䀿	buqhl
䁀	buqhl
䁃	buqmv
䁚	burbc
䁕	burpa
䁒	bursj
䀔	bushi
䁹	busrj
䁥	bustr
䀧	butc
䂀	butgs
䁳	butit
䁐	butlk
䁧	butlo
䁟	butqm
䁾	butwi
䁸	butwv
䁠	butxc
䁓	buuce
䁗	buumt
䂅	buvfi
䁻	buvid
䁽	buvvv
䁌	buwb
䁼	buwfg
䁫	buwgf
䁲	buwlc
䁺	buwlj
䁵	buwlv
䁤	buycb
䁨	buydl
䀞	buyj
䁦	buypm
䀡	buyr
䁁	buyrf
䁎	buyrn
䁢	buyso
䀭	buyvo
䀮	buyvu
䁴	buywm
