㼏	bvhvo
䑈	bvid
䐂	bvne
䨉	bvog
㬷	bwd
䤚	bwg
䐃	bwhd
䐾	bwlj
䐯	bwvf
㓀	by
䐱	bycb
㥖	bycip
㬵	byck
㬿	bydk
䐮	byhm
䐮	bykm
䑊	bylc
䚻	bymr
䢷	bynl
䑉	bynv
䐧	byrb
㓃	byrp
䑋	byrv
䏠	byt
䵊	bytlc
䵊	bytmc
䏽	bytr
䥵	cagu
㣒	cahhh
䒏	canau
䥜	cand
䥨	canr
䎖	casmm
䥪	cavf
䏌	cb
䤟	cbhn
䤾	cbhx
䥂	cbmo
䤬	cefh
䥕	cfbk
䤡	cgb
䥗	cgfo
䤲	cglc
㒶	cha
䤼	chae
䤣	chfd
䶏	chhul
䤨	chhv
䤪	chnd
䥩	chok
䥏	chol
䥞	chsk
䥇	chsm
䥷	chtn
䤝	chvl
䲲	cihaf
䤞	ciku
䥝	cipp
䥇	cism
䤹	cjfe
䥱	cjhf
䤩	cjhp
䥫	cjig
䥉	cjni
䥑	cjon
㸖	ckbm
㸗	ckbmr
㸙	ckjka
䤭	ckkb
䤶	cklu
䤻	ckmb
㸘	ckwln
䥡	clld
䤵	clmy
䒑	cm
䥳	cmbe
䥤	cmbu
䥶	cmhm
䤺	cmrl
㿽	cmst
䥄	cmta
䤯	cmth
䥎	cmvb
䥔	cmwd
䥮	cmwl
䥁	cniw
䥙	cnlo
䤥	cnmu
䥃	cobg
䤦	coi
䥘	cooa
䥟	cqav
䥛	cqhf
䤿	cqhq
䥹	cqhu
䥊	cqmc
䤜	cqu
㕣	cr
䜱	crawe
䜰	crhaj
