㰑	dppd
㮲	dpuu
㭵	dpw
㭤	dpym
䪘	dqamo
䪚	dqasm
䪛	dqhdw
㮮	dqhq
䪙	dqibi
䪔	dqijb
㭋	dqj
䪑	dqjp
䪜	dqncr
䪖	dqoae
䪏	dqob
䪕	dqpfd
䪐	dqph
䪗	dqrse
㭏	dqs
䪝	dqtoe
䪒	dqyg
䪓	dqyr
㭒	drlr
㯝	drmr
㮙	drrs
㭭	drsn
㯢	druc
㰓	dsic
㰖	dsiu
㭯	dsju
㭾	dsuu
㮜	dsvg
㭱	dswl
㮠	dtbd
㯣	dtcd
㯦	dtcd
㯕	dtcl
㰕	dtgs
㯼	dtgt
㯵	dthg
㮱	dthu
㯴	dtjr
㮖	dtlj
㰙	dtog
㯳	dtrk
㮶	dtub
㰛	dtvd
㯜	dtyj
㭶	dtys
㯶	duce
㮀	dune
㰎	duos
㯞	dvfb
㭃	dvi
㯍	dvmi
㰘	dvnt
㭮	dvvn
㯿	dvvv
㮨	dwce
㯥	dwdw
䰤	dwhui
㼑	dwhvo
㭷	dwks
㯮	dwli
㯰	dwlm
㯰	dwlv
㮯	dwmo
㼯	dwmvn
㮿	dwtj
㪝	dwye
㰚	dybg
㯙	dybk
㯈	dydl
㰋	dyhc
㯆	dyhm
㯆	dykm
㯌	dymo
㯉	dypd
㯫	dypo
㯭	dyps
㯎	dyrd
㯀	dyso
㮵	dysy
㯾	dyta
㮸	dytk
㯠	dyvq
㰅	dyyb
㴘	eabu
㵆	eahr
㵎	eanb
㶒	eanf
㴸	eano
㵍	eanp
㶄	eanx
㵊	ease
㵣	eavo
㶞	eayv
㳉	eb
㳶	ebdu
㵻	ebhe
