㴥	eufb
㴠	eune
㵹	eutk
㴴	evff
㴌	evjr
㵖	evrf
㖳	evrp
㳨	evvn
㴩	evvu
㴄	ewcb
㴄	ewcr
㴅	ewcr
㳌	ewl
㵋	ewlc
㶔	ewlk
㴓	ewp
㶟	ewwf
㵽	ewww
㴒	eyct
㳡	eydi
㴹	eyfd
㳖	eyhv
㳿	eyid
㳰	eyit
㳘	eyiu
㳆	eyj
㳠	eyk
㵦	eykb
㶆	eyra
㶛	eysc
㵀	eysk
㳯	eytj
㵝	eyvb
㶎	eywv
㷸	famj
㷎	fapv
㡀	fbf
䳤	fbhaf
㲂	fbhne
㲖	fbhqu
䰪	fbhui
㷔	fbla
䣊	fbnl
㶲	fbq
㦂	fbrbp
㗬	fbrnn
䟫	fbryo
䙺	fbuu
䣔	fcnl
䊓	fdamo
䊐	fdapp
䊡	fdawe
䊂	fddb
䊑	fdfbr
䊏	fdff
䉽	fdfq
䊎	fdfqu
䊦	fdgbt
䊭	fdgni
䊗	fdhag
䊝	fdhdp
䊩	fdhdw
䉿	fdhfd
䊁	fdhgu
䉼	fdhml
䊃	fdhnb
䊴	fdhoo
䉻	fdhvp
䊳	fdidy
䊇	fdijb
䊌	fdipp
䊯	fditc
㶬	fdj
䊖	fdjbj
䊉	fdjd
䊜	fdjii
䊀	fdjr
䊛	fdkce
䊛	fdkde
㸊	fdlc
䊧	fdlnc
䊘	fdlwb
䊥	fdlx
㶱	fdm
䉺	fdm
䊤	fdmwj
㐘	fdn
䊅	fdnir
䊕	fdnkq
䊒	fdog
䊱	fdoim
䊈	fdowy
䊊	fdshu
䊮	fdsmg
䊟	fdtlb
䊣	fdtlc
䊔	fdtlk
䊣	fdtmc
䊪	fdtwb
䊋	fdvmg
