䇾	hymr
䉦	hymu
䑢	hymu
䑥	hynhe
䑠	hynn
䑮	hynsd
䶱	hynxu
䑧	hyodi
䉨	hyoe
䧷	hyog
䑾	hyoge
䑤	hyoin
䑳	hyomb
䑪	hyomr
䑨	hyopd
䒉	hyotq
䑦	hypr
䑼	hypuu
䑶	hyqmb
䈞	hyra
䉴	hyrv
䟟	hyryo
䒁	hysma
䎇	hysmm
䈛	hyte
䑴	hytmc
䈮	hytr
䑫	hytt
䈉	hytv
䒂	hyvmi
䈍	hyvu
䉡	hywm
䑲	hyyaj
䒆	hyybk
䒃	hyyhr
䑰	hyylh
䑻	hyysd
㡺	iam
㡾	iav
䏍	ib
㢐	ibbr
㮾	ibd
䏻	ibgi
䳌	ibhaf
㣑	ibhhh
㲢	ibhqu
㼐	ibhvo
㓲	ibln
㡹	ibm
㢀	idb
䯢	idbbb
䳸	idhaf
㸏	idlyf
㡷	idm
䵇	idok
䵉	idomn
㥻	idp
㦄	idp
䜆	idymr
䥭	iec
䳊	iehaf
㐜	iekn
㕙	ienai
䣇	ienl
㱂	ieno
䄙	ifbac
䄞	ifbof
䄤	ifdlc
㵗	ife
䄌	ifeee
䄕	ifew
䄊	ifgp
䄣	ifgwc
䄓	ifhag
䄆	ifhjr
䄔	ifhlb
㫂	ifhml
䄑	ifhpa
䄉	ifhqi
䄀	ifi
䃽	ifje
䄋	ifklu
䄎	ifkmr
䄃	iflbk
䄛	ifllv
䄂	iflw
䄗	iflxl
䄥	ifmbo
䄈	ifmrt
䄡	ifncr
䄒	ifoip
䄖	ifomn
䄖	ifomv
䃾	ifpp
䄁	ifpt
䄝	ifqkx
䃿	ifqo
㗤	ifr
䄇	ifrhg
㞝	ifs
