䄍	ifta
䄏	ifthk
䄚	iftwa
䄄	ifwk
䃼	ify
䄘	ifybs
䄜	ifyub
䄠	ifywm
䄢	ifyx
䀅	igbt
㕠	ige
㢉	ihdp
㢖	ihdw
㦴	iher
㡻	ihhl
㢎	ihjx
㢗	ihkb
㓄	ihlbu
䫩	ihmbc
㢔	ihoo
㡯	ihp
㢂	ihrr
㡳	ihvp
㕕	ii
㡲	ii
㢃	iiav
䁉	iibu
㷱	iif
㕖	iiid
㕘	iiif
㦯	iim
䣌	iinl
㓪	iish
䋯	iivif
䢄	ijdd
㐣	ijjn
䏿	ikb
䁈	ikbu
䳊	ikhaf
㹜	ikik
㢊	ikmr
㥷	ikop
㪐	ikye
䗝	illmi
䨾	ilmy
㡽	ilq
㡼	ilwp
㓏	imbcr
㓊	imbmr
㡰	imd
㳼	ime
㓐	imgcg
㢅	imgt
㓑	imgtj
㓔	imhhi
㓉	imhjr
㓇	imhk
䰥	imhui
㦶	imig
㓕	imihf
㓓	imjbj
㓅	immn
㓈	immr
㰲	imno
㓌	imomg
㓆	imop
㓗	imqhf
㢄	imrt
㓎	imsme
㓋	imtc
㓖	imwtj
㓍	imyiu
㢝	infd
㢁	inin
㢌	inlr
㐧	innh
㡱	ino
㢈	iog
㢑	iogj
䳐	iohaf
㡵	ioii
㢏	iomn
㢛	iomo
㢋	ionn
䧹	ioog
㡸	ios
䌠	iovif
㭍	ipd
䴢	ipd
䴧	iphdv
䴣	iphfd
䴠	iphk
䴟	iphni
䴤	iphqm
䴪	ipife
䴪	ipine
䴥	ipksr
䘅	iplii
䫲	ipmbc
䴫	ipmbi
