䆶	jcogf
䆟	jcomr
㮤	jcord
㥲	jcp
䆫	jcpkp
䆢	jcqdk
䆬	jcrbc
䆛	jcrhp
䆗	jcrvl
䆾	jcsit
䆠	jcsll
䎙	jcsmm
䆰	jcsrr
䇀	jctjj
䆿	jcvmd
䆘	jcwl
䆼	jcybb
䆳	jcymo
䆽	jcypo
䆹	jcytg
䙿	jdbuu
㝝	jdd
䫅	jdmbc
䫙	jdmbc
㪍	jdok
㖝	jdrp
㝊	je
㲾	je
䴿	jebmo
䴸	jebnd
䴭	jedh
䴲	jedj
䵀	jefbc
䴶	jehej
㲍	jehqu
䴽	jehwj
䴰	jei
䴼	jeii
䴬	jeip
䴳	jejc
䴷	jejmu
䴱	jejp
䧴	jeog
䴯	jephh
䵆	jetbo
䵃	jetlc
䵃	jetmc
䴾	jetqm
䴵	jett
䵄	jetwt
䴮	jeu
䵁	jevmi
䴹	jewd
䵂	jeycb
䴴	jeyr
䴺	jeytr
㝪	jgji
䘁	jglmi
㝨	jgrv
䪣	jhiom
㝯	jhkb
㝢	jhlb
㝰	jhus
㝗	jiav
㘽	jig
㦳	jig
䳒	jihaf
㦲	jihs
㝩	jile
㝎	jino
㢤	jips
䵧	jiwgf
䡬	jjawe
䡣	jjbjj
䡆	jjci
䡦	jjeed
䡜	jjgcg
䡚	jjhau
䡊	jjhe
䡄	jjhn
䡮	jjhoo
䡧	jjhrf
䡎	jjhs
䡽	jjhuc
䡻	jjhus
䡟	jjhwj
䡯	jjhwp
䡙	jjiav
䡢	jjisb
䡪	jjism
䡩	jjjbc
䡹	jjjbo
䡥	jjjcr
䡋	jjje
䡝	jjjnu
䡐	jjjp
䡛	jjjwj
䡌	jjki
䡈	jjkk
䡃	jjks
