䡅	jjlll
䡿	jjmbo
䡼	jjmbr
䡖	jjmcg
䡇	jjmmu
䡕	jjnem
䡏	jjni
䡔	jjnin
㲦	jjohu
䮧	jjosf
䡡	jjppa
䡘	jjpw
䡺	jjqjp
䡍	jjqo
㝒	jjr
䡲	jjrrj
䡑	jjrvp
䎐	jjsmm
䡶	jjsrj
䡱	jjsrr
䡳	jjtcl
䡷	jjtgt
䡭	jjtqg
䡸	jjtwv
䡂	jjvl
䡒	jjw
䡠	jjybc
䡾	jjybk
䡫	jjyhj
䡉	jjyhn
䡴	jjytg
䡵	jjyto
㹈	jkhq
㲠	jkhqu
㠻	jklb
㔹	jks
䟅	jlgyo
䳻	jlhaf
䭕	jloiv
㨻	jlq
㟻	jlu
㜞	jlv
㝉	jm
㝟	jmbu
㝙	jmgc
䥅	jmgc
䳦	jmhaf
㲁	jmhne
㝞	jmlm
㿾	jmnt
㲰	jnhqu
㝖	jnin
㝚	jnkm
㝫	jnlm
㝋	jnn
㝌	jno
䵫	jnuf
䗕	jnui
㝦	jogs
㝏	joll
㝓	jomr
㝛	jomw
㝭	jpam
䙾	jpbuu
㝕	jpe
䳓	jphaf
䀄	jpht
䁇	jphu
㔺	jpj
䎜	jpjkp
㼠	jpmvn
㐗	jpn
㖈	jpr
䎛	jpr
䎝	jpsmm
㝣	jqhk
䂋	jqnhd
㕝	jre
㲅	jrhne
㼋	jrhvo
㼸	jrmvn
䧸	jrog
㝬	jrqo
㖛	jrrp
䎁	jrsmm
㪡	jrye
䳣	jshaf
㝡	jsje
㼥	jsmvn
㝜	jta
㫩	jta
䗙	jtci
䞿	jtco
㥶	jtcp
㝤	jttb
䀇	jubt
㝮	jufe
䢇	jumvi
㐄	jv
䀂	jvbt
