䗥	lihoo
䘊	lihwi
䙁	lii
䗚	liibi
䗫	liidd
䗩	liihf
䗃	liii
䗤	liilb
䗧	liile
䘬	lij
䘤	lijc
䗏	lijfe
䖳	lijhp
䘂	lijim
䖾	lijmu
䗿	lijpn
䘆	lijqp
䗆	lijrr
䖷	likkb
䗮	likkk
䗁	likmr
䗭	lillp
䖵	lilmi
䖴	lilmo
䘈	limbs
䖨	limr
䖶	limso
䗎	limwg
䗵	limwm
䗡	limyf
䖡	ling
㰩	lino
䗳	linot
䗨	linwf
䘋	lioim
䗛	liolb
䗔	lionk
䘝	lip
䖲	lipa
䗇	lipfd
䖩	liph
䗓	lipkp
㧛	liq
䖱	lismg
䗅	lismv
䗶	litav
䗱	litco
䗖	litjb
䗋	litmd
䖹	litq
䗒	littc
䗹	litvp
䖦	liuu
䘎	livfn
䘃	liwfg
䗰	liwjc
䖬	liwl
䗦	liyhj
䗢	liyhr
䖻	liyiu
䛓	liymr
䗯	liyog
䗂	liypn
䗂	liypu
䗷	liytp
䗈	liyvu
䙋	ljmm
䘢	ljmn
䘺	ljmo
䘼	ljnu
䘾	ljrr
䙭	ljto
㿮	lkdhe
䘠	lkk
䙃	lkmb
㼜	lkmvn
䒋	lknau
䘜	llb
䘧	llbk
㸡	llhjd
㲏	llhqu
㸞	lllll
㸠	lllmo
䙡	llmc
䙌	llmo
㸝	llno
㸥	llnri
㸟	llpa
䙫	llpc
㸣	lltcd
㸢	llthb
䙥	lmbi
䙇	lmbk
䀆	lmft
䪤	lmhdw
䘭	lmig
䙣	lmky
䙐	lmrb
䙠	lmto
䙅	lmwv
