㐵	omd
㑝	omgt
㒈	omjk
㒎	omky
㐃	oml
㑒	omlo
㐾	ommu
㽂	ommvn
䣃	omnl
㑂	omob
㥐	omrp
㐳	omu
㑹	omwa
㪧	omye
㐈	on
㲵	onfb
㑱	onhd
㐴	oni
㒱	oni
㒈	onjk
䫛	onkc
㔕	onks
㲴	onl
㓱	onln
㺸	onmg
㺸	onmgi
㼶	onmvn
㰟	onno
㐸	ono
㩿	onok
㖌	onrp
㲷	onrrj
㑇	onsm
㐷	onvm
㪁	onye
㪂	onye
㲶	onywi
㫺	ooa
㐻	oob
㑺	oogs
㦰	ooi
㑫	ooip
㑖	ool
㒢	oomb
䁞	oombu
㑟	oomc
㐹	oomn
㑶	oond
㰸	oono
㐺	ooo
㪘	oook
㒆	oorm
㒇	ootf
㪘	ooye
㑅	ooym
䦆	opbue
䥾	opbym
㐌	opd
䥿	ophms
䦂	ophsm
䦂	opism
䥽	opive
䦄	opjiv
䥻	opmku
䥺	opmvh
䥼	opphh
䦁	opqjl
䦀	opsmm
䦃	optja
䦅	opttr
㑳	opuu
㐿	oq
㑍	oqd
㑜	oqhl
㐰	or
䝷	orbuc
䳰	ordf
㿯	ordhe
㲛	orhqu
㑆	orhu
㓣	orln
㓧	orln
䣽	ormcw
㼨	ormvn
㐛	orn
䧻	orog
䧾	orog
㑨	orok
㪉	orok
㧱	orq
䎏	orsmm
㐶	oru
㒑	oseg
㒘	oset
㒊	osim
㒤	osjj
㑙	osju
㑴	osme
㑌	osmg
㒛	osmg
