㺱	osmgi
㤰	osp
㑚	osql
㒪	osso
䓥	otaj
㒗	otbg
㒒	otcd
㒋	otcl
䣏	otcl
㒂	otja
㑋	otw
㑤	otw
㒖	otwb
㒝	otwi
䍇	ouhio
䍋	ouhjm
䍆	oujmn
㒥	oujt
㓡	ouln
䍂	oumd
䍈	oumfj
㑕	ouni
䍅	ouoii
㒞	ouos
䍉	ourc
䍎	outif
㑁	ouu
㒴	ouu
䍊	ouyck
䍄	ouyr
䍌	ouytr
㚢	ov
㒙	ovfb
㠩	ovhu
㑃	ovis
㑬	ovjr
㑰	ovno
㒩	ovoi
㤀	ovp
㥋	ovp
㑿	ovvd
㑎	ovvu
㒁	owgj
䳺	owhaf
㑼	owhr
㒔	owli
㑩	owln
㑭	owml
㱃	owno
䨄	owog
㒦	owwg
㑄	owyi
㒧	oybg
㒀	oycb
㒠	oyem
㒓	oygq
㑪	oykl
㑊	oylc
㑐	oymf
㒅	oynv
㒟	oysv
㒕	oyvg
䋣	oyvif
㔬	paj
㥂	pami
㔭	pamo
㥃	pan
㝁	pand
㰬	pano
㦖	panp
㦦	panu
㦨	panw
䭫	pathu
䭬	pavvu
㥗	payk
㥊	pbb
㥅	pbbe
㤾	pbcd
㤯	pbcr
㥒	pbd
㦓	pbkf
䀏	pbu
㤋	pcsh
㦗	pddf
㤓	pdm
㯋	pdmbc
㣾	pei
㥪	pfdv
㦪	pffe
㦉	pgbt
㥄	pgce
㤬	pgg
㥘	pgii
㤼	pgis
㔩	pgit
㥺	pgit
㤸	pglc
㫚	pha
㦢	phal
䀜	phbu
