㕱	riku
㖄	rill
㖪	rirm
㖑	rit
㖢	riyp
㗧	rjcg
㗌	rjmg
㗅	rjrb
㘔	rjtc
㗷	rjto
㕦	rk
㗐	rkit
㖁	rkki
㖠	rkmf
㕤	rkn
㗣	rkpb
㗎	rkrd
㟩	rku
㕪	rlbu
㗲	rlgm
㖀	rlq
㠯	rlr
㘎	rlsk
㖂	rlwp
㖽	rmbc
䟹	rmbdi
㖇	rmbl
䠛	rmbou
㘊	rmbr
䟸	rmbt
䟺	rmbuc
䠐	rmbuk
䟱	rmdb
䠭	rmdlc
㕶	rmdm
䠌	rmeb
䟾	rmeee
䟕	rmei
䠥	rmfbk
䠀	rmfbr
䟞	rmfh
㗏	rmfm
䠮	rmfqf
㕵	rmg
䟩	rmgi
䟪	rmhio
䟯	rmhjr
䟦	rmhke
䟝	rmhne
䟰	rmhon
䟡	rmhpm
䠗	rmhuk
䟡	rmhvi
䟗	rmhvp
䠋	rmhwj
䠘	rmhwp
䟣	rmid
䠞	rmihf
䠁	rmiim
䟣	rmijc
䟵	rmije
䠖	rmior
䟠	rmiv
䟛	rmjb
䠚	rmjco
䠒	rmjrb
䠉	rmjrr
䠑	rmkgg
㖔	rmkr
㗺	rmky
䠈	rmle
䠊	rmlmy
㓸	rmln
䠃	rmmlb
䟚	rmmml
䟴	rmmmv
䟓	rmmn
䟼	rmmpm
㖘	rmmv
䠨	rmncr
䟢	rmnf
䟥	rmnih
䟿	rmnme
䠏	rmnok
䠬	rmntl
䟜	rmob
䟮	rmoik
䟬	rmom
䠯	rmomb
䟻	rmomd
䟶	rmoog
䠦	rmora
䟭	rmos
䟤	rmph
䟙	rmpsh
䟷	rmqhl
䠝	rmrbc
㗞	rmre
䠤	rmrrj
䠍	rmrse
