㗄	rwls
㗻	rybb
㗥	rydl
㘖	ryhc
㗓	ryhr
㕫	ryhs
㖡	ryok
㘌	ryon
㗪	rypf
㗔	rypk
㖸	rypm
㗒	ryrv
㕸	ryt
㖕	rytj
㖣	rytr
㗜	ryvw
㦻	sai
䣝	sanl
㞎	sau
㕞	sbe
㔉	sbln
㞕	scb
㔯	scr
㞖	sdb
㞋	se
㬾	seb
䁂	sebu
㷂	sef
㷅	sef
㙠	seg
䵖	sehde
㹂	sehq
䗟	selmi
䃜	semr
䝂	semrt
㗨	ser
㞑	seu
䮖	sfaa
䮩	sfbbb
䮭	sfbbu
䮐	sfbcr
䮑	sfbdi
䮝	sfbjj
䭸	sfck
䭻	sfcsh
㷉	sfdi
䮣	sfeed
䮕	sfeee
㷦	sff
䮼	sfffq
䮚	sfgce
䮃	sfgi
䮻	sfgni
䮯	sfgsk
䮳	sfhdw
䮔	sfhjm
䮢	sfhjx
䭵	sfhni
䭽	sfhq
䭿	sfhqo
䭷	sfhqu
䭹	sfhvl
䮘	sfhxu
䮒	sfijb
䭾	sfik
䮂	sfike
䮂	sfikk
䮽	sfipf
䮙	sfirm
䮁	sfit
䮅	sfiv
䭴	sfj
䮟	sfjce
䮟	sfjfe
䮮	sfjon
䮿	sfjto
䮨	sfjyj
䮎	sfkkb
䮊	sfkn
䮫	sfllv
䮇	sflq
䮆	sfmfj
䭶	sfml
䭼	sfmml
䮏	sfmmr
䮋	sfmnn
䮥	sfmrb
䮠	sfmrw
䮈	sfnin
䑞	sfniq
䣕	sfnl
䮛	sfnli
䮴	sfnot
䮪	sfnqd
䮡	sfoae
䮤	sfobg
䮌	sfod
䮶	sfogd
䮉	sfohv
䮀	sfpru
