㰞	uno
㞤	uo
㞥	uo
㠍	uogd
㠎	uogd
㟏	uoir
㟔	uoir
㞰	uoj
㞺	uok
㟇	uoog
㟆	uopj
㠜	upko
㠝	uqoc
㟼	uqsk
㠂	uqsk
㟛	uqtm
㞻	urms
㟭	urpa
㠆	urrj
㟧	urrs
㠋	urrs
㟕	uryj
㟹	usjl
㟒	uskr
㠄	usma
㟃	usmr
㞾	usp
㠔	usrj
㟙	uta
㠓	utbo
㠌	utco
㟟	utcu
㟱	utgf
㠖	utgi
㠚	utgi
㟿	utit
㠏	utmj
㠛	utoe
㟷	utor
㟄	utq
㟐	utyv
㪿	uuhml
㠦	uujt
㔘	uuks
㟅	uuku
㟨	uumb
䪼	uumbc
䢺	uunl
䖓	uuypn
䖓	uuypu
㟵	uwlm
㠑	uwly
㟪	uwmv
㠥	uwwg
㟂	uwyi
㠃	uycb
㠇	uyfu
㞳	uyj
㓙	uyk
㞵	uyk
㞶	uyk
㠊	uypc
㠊	uypm
㠠	uypt
㠙	uyro
㠤	uyrv
㠡	uysv
㠉	uytg
㟝	uytr
㛫	vaph
㛵	vbgb
㚮	vbhn
㜣	vbkf
㚩	vbmm
㛝	vbuc
㜹	vbug
㜎	vbvk
㣈	vbvnb
㜁	vdam
㜀	vdbu
㛦	vdd
㛥	vea
䚄	vebuu
㐐	ven
䋈	vevif
㪖	veye
䋎	vfam
䌪	vfanx
䋵	vfapv
䌈	vfasm
䌐	vfbbu
䋄	vfbk
䋞	vfbkk
䌥	vfbmp
䌊	vfbou
㜭	vfbw
䋮	vfc
䊾	vfd
䌝	vfddf
䊷	vfdh
