㛚	vnib
㚨	vnj
㜟	vnjk
㣇	vnmb
㜶	vnri
㚺	vnsd
㛆	vnsd
㛀	vnsm
㛯	vnus
䶯	vnxu
㚷	vof
㜝	voiw
䗍	volmi
㚱	vom
㛹	vomk
㛗	voog
㛋	vop
㜃	voyr
㣽	vp
㚬	vpim
㚬	vpmm
㚿	vpru
㜜	vqsk
㛕	vrau
㜏	vrbc
㛣	vrbo
㛎	vrhr
㚾	vrhu
㚶	vrlr
㛰	vrpa
㛎	vrr
㖲	vrrp
㗠	vrrp
䘫	vryhv
㜨	vseq
㜮	vsit
㛅	vsj
㜦	vsmi
㚸	vsmr
㜊	vstv
㜯	vsuf
㛭	vta
㜋	vtct
㛨	vtgu
㛿	vtjb
㜓	vtor
㜖	vtwa
㜴	vtwu
㫁	vuhml
㛶	vukf
㔢	vuks
㛶	vumf
㛧	vumr
㜐	vumt
㜠	vuog
㔃	vush
㚣	vv
㜻	vvfp
㜰	vvid
㡭	vvii
㜽	vvnd
㜉	vvvu
㛴	vvvw
㚼	vw
㜥	vwlc
㓯	vwln
㛱	vwmv
䣎	vwnl
㜼	vwwm
㜆	vyfd
㛄	vyhv
㛩	vyib
㜅	vyiw
㜕	vyjj
㜲	vynv
㜘	vypm
㚲	vyr
㜵	vysv
㛺	vyta
㛙	vytj
㜔	vytu
㜳	vywv
㽟	wbdi
㼴	wbmvn
㘥	wbuf
䚑	wcbuu
㽪	wcwa
㼫	wdmvn
㪙	wdok
㘝	we
䳴	wehaf
㘤	well
䵣	wfam
䵮	wfamh
䵪	wfapp
䵬	wfea
䵦	wfemd
䵱	wfgrr
䳴	wfhaf
䵯	wfhjg
