𨷼	anmoo
𨵩	anmrw
𨴯	anmso
𨷩	anmtc
𨴸	anmth
𨶜	anmtj
𣆡	anmu
𨵰	anmyy
𨵃	annau
𨷍	annau
𨷌	annbi
𨳕	annd
𨶉	anndf
𨳴	annf
𨳞	anng
𨳛	annhe
𨴭	annib
𨴢	annin
𨳥	annio
𨳿	anniy
𨵭	annkq
𨳤	annl
𨵌	annlr
𨵬	annlv
𨷊	annmk
𨴓	annmu
𨶋	annof
𨶿	annot
𨶥	annrk
𨷟	annru
𨶧	annwa
𨶢	annwf
𨶾	annwg
𨷺	annxu
𨵀	anoam
𨳙	anob
𨶨	anobn
𣈩	anoc
𨶲	anogf
𨴿	anogi
𨵁	anoha
𨵺	anohf
𨴧	anoho
𨴳	anohv
𨶆	anoir
𨳰	anoj
𨴊	anok
𨵼	anoll
𨷬	anomb
𨷲	anomb
𨴴	anomc
𨴩	anomd
𨵸	anomk
𨵦	anomn
𨵅	anomr
𨶆	anomr
𨴟	anooo
𨴰	anoos
𨴞	anoq
𨶭	anotf
𨶏	anouk
𨳢	anoy
𢛩	anp
𨳍	anp
𨶣	anphi
𨶦	anpko
𨷞	anpko
𨵳	anptd
𨳘	anpu
𨷧	anqbd
𨴒	anqjh
𨵯	anqjt
𨴆	anqmn
𨶎	anrbc
𨷖	anrml
𨴽	anrp
𨵽	anrpa
𨶴	anrrg
𨴾	anrsn
𨶘	anrut
𨶷	anrvc
𨳶	anrvp
𨵜	anrwu
𨶞	ansbe
𨷜	ansfk
𨳬	ansk
𨴑	ansmg
𨵱	ansmg
𨶪	ansmh
𨶟	ansms
𣆻	anss
𨳽	anss
𨵠	ansug
𨵡	ansuu
𨷽	answt
𨳡	ant
𨳹	ant
𨶂	antct
𨶅	antgf
𨶩	antgt
