𣈶	apmm
𨿪	apog
𣅪	app
𣈽	aptd
𣉵	apuu
𣈓	aqde
𣉶	aqdu
𣇄	aqhl
𣉅	aqkk
𣈖	aqkq
𣊚	aqoo
𣅊	ar
𦟲	arb
𧢈	arbuu
𤋗	arf
𤋜	arf
𣇒	arhg
𣅷	arhu
𣆉	arj
𣈣	arlu
𣊤	armmv
𣋝	arrd
𣋋	arxu
𪙶	arymu
𣈿	asav
𣋙	asce
𣅉	ashi
𩳺	ashui
𣋣	asit
𣌍	asjj
𣉛	asjl
𣇉	askr
𣆓	asm
𣆲	asme
𦐇	asmm
𣋣	asmt
𢤃	asp
𣉾	asrr
𣅗	asu
𣇡	asup
𣊏	asym
𣅋	at
𣈏	ata
𦡉	atb
𦃙	atcf
𧏒	atci
𣊴	atcj
𨍯	atcj
𣊪	atco
𣋛	ater
𣇪	atf
𣈸	atgk
𣌀	atgs
𣉼	atgt
𣋞	atgt
𣌕	athf
𩔐	atmbc
𣇳	atmc
𣈒	atmc
𣋒	atnk
𨞚	atnl
𣌖	atog
𣉏	atoi
𣋸	atoo
𣋭	atos
𣋑	atpd
𣌓	atrg
𣈴	atw
𣉿	atwa
𣋻	atwi
𣋏	atwv
𣈰	atyb
𣇷	atys
𣉪	atyu
𣊀	atyu
𣉪	atyv
𢀳	au
𧡭	auamm
𥌏	aubac
𣎞	aubge
𢁍	aubhf
𥁻	aubt
𡬩	audi
𢁑	audlc
𥸿	aufd
𡉷	aug
𪃑	auhaf
𪄵	auhaf
𣬷	auhqu
𣮮	auhqu
𣉀	auie
𥌙	auijj
𥋜	aujce
𢻌	auke
𢽼	aukkk
𧎱	aulii
𠛋	auln
𣀟	aulvk
𠄧	aumm
𠀧	aummm
