𧸂	bcnjk
𧸸	bcnmr
𧵥	bcnmu
𧶳	bcnob
𦙕	bcns
𧶄	bcnsd
𦢆	bcobo
𧵉	bcof
𨿎	bcog
𧶗	bcoir
𧸤	bcoma
𧹊	bcomb
𧸘	bcomo
𧶗	bcomr
𧶟	bcomr
𦛱	bcor
𧶅	bcowy
𢤧	bcp
𧵣	bcpa
𧵈	bcpi
𧶰	bcpib
𧴶	bcpj
𧵢	bcpru
𧸊	bcptc
𧵃	bcq
𧶇	bcqhl
𧵷	bcqke
𧶫	bcqmv
𣍬	bcr
𧵙	bcrc
𧶔	bcrmg
𧸚	bcrmr
𧵐	bcrno
𧸻	bcshe
𧴬	bcshi
𧵓	bcshr
𧸦	bcsit
𧶋	bcsju
𧸭	bcsmg
𧸦	bcsmt
𦝅	bcsp
𧷸	bctak
𧷻	bctbc
𧸅	bctcb
𧸕	bctcb
𧸢	bctcd
𧸡	bctgi
𧶾	bctgk
𧷶	bctgr
𧹀	bctlx
𧵊	bctm
𧶿	bctmv
𧶩	bcttt
𧶥	bcttt
𪏍	bcuc
𦢴	bcuk
𧵮	bcuku
𧶲	bcumb
𧴱	bcv
𧶬	bcvam
𧷣	bcvvd
𠖋	bcw
𦠇	bcwa
𧶞	bcwhd
𧶮	bcwjr
𧸏	bcwlc
𧹐	bcwlg
𧷳	bcwvf
𧴤	bcy
𦋐	bcyaj
𧶸	bcybc
𦊇	bcyc
𣀕	bcye
𧸜	bcyhc
𧷹	bcyhr
𧸉	bcyia
𧴼	bcyj
𧸔	bcykm
𧶆	bcykr
𧸽	bcylc
𡮧	bcymf
𧸗	bcymh
𧸥	bcymu
𧸩	bcymu
𧶺	bcyrn
𧮣	bcyrr
𧷆	bcysd
𧸌	bcytg
𧸙	bcyto
𣎻	bd
𣎾	bd
𦙣	bd
𣍸	bdb
𧠾	bdbuu
𦝃	bdd
𤏷	bddf
𦡞	bddf
𪒍	bddf
𦛻	bddi
𦡩	bdel
