𦣈	bhei
𧴝	bhetb
𦙭	bhey
𤓑	bhf
𧳍	bhfb
𢅌	bhfb
𦡗	bhfp
𧴒	bhgbt
𦜙	bhgp
𦛩	bhgr
𧼌	bhgyo
𧳖	bhhac
𪁰	bhhaf
𪃧	bhhaf
𧳌	bhhdn
𧳌	bhhdu
𧲴	bhhey
𧳿	bhhgu
𧳽	bhhhw
𧲶	bhhik
𧳮	bhhjg
𧲿	bhhmr
𧳻	bhhoi
𧲢	bhhp
𧲤	bhhq
𧠿	bhhu
𩳏	bhhui
𧲲	bhhvo
𧳄	bhhwk
𧳴	bhhwt
𧳈	bhhx
𧳶	bhhxe
𧴏	bhhyy
𧳓	bhiav
𧳵	bhibi
𧲷	bhid
𧲯	bhike
𧳑	bhikh
𧲯	bhikk
𧴄	bhilb
𦚖	bhio
𧳑	bhiuh
𦡘	bhjg
𧴃	bhjjl
𧳯	bhjka
𧳅	bhjlk
𧴍	bhjtc
𦝥	bhjx
𧳗	bhkau
𦠚	bhkb
𧳾	bhkgu
𧳐	bhkkb
𧴅	bhkkk
𦠿	bhkm
𧲭	bhkm
𧲡	bhks
𦞇	bhlb
𧲱	bhlbk
𧳙	bhle
𧲬	bhlk
𧴊	bhllp
𧳃	bhlmi
𠝄	bhln
𦜓	bhlo
𦞧	bhlw
𧲹	bhlw
𧴓	bhmbb
𧳔	bhmbm
𧲺	bhmfj
𧳏	bhmfr
𤨽	bhmgi
𧴠	bhmhm
𧳎	bhmmr
𧲦	bhmmu
𧲨	bhmt
𧴋	bhmwf
𧳊	bhnbg
𧴀	bhnbp
𧴛	bhnbq
𧳊	bhnbq
𦚩	bhnd
𧳨	bhnhd
𧲫	bhnhe
𠕵	bhni
𧳁	bhnin
𤔆	bhnq
𠖊	bhoe
𧳞	bhog
𦞒	bhoi
𦠱	bhoi
𧳂	bhoik
𧳘	bhoir
𧳡	bhojk
𠖢	bhok
𧲰	bhom
𧴚	bhoma
𧳇	bhomr
𧳤	bhonn
𧲮	bhos
𧴐	bhoyb
