𦜏	bisk
𤔺	bismr
𡬰	biso
𦢎	bitc
𣍍	bitw
𠃿	biu
𦢵	biyd
𣁷	biyj
𣎀	biyr
𣎧	bjaf
𦡄	bjal
𦞷	bjav
𠖕	bjbc
𦢒	bjbc
𦢭	bjbd
𦠖	bjbu
𧡡	bjbuu
𦣘	bjbv
𦙮	bjc
𠖩	bjcc
𦝬	bjck
𦞭	bjco
𦞳	bjcr
𦡆	bjcu
𦝣	bjhr
𣍥	bjhu
𦢙	bjim
𦞁	bjir
𣎢	bjjb
𣍱	bjki
𦚱	bjkp
𦟘	bjmc
𦝻	bjmm
𣣞	bjno
𩙵	bjnoo
𦟱	bjoa
𦡀	bjoe
𦟬	bjoh
𦚐	bjp
𦞯	bjpa
𦢉	bjpi
𦡲	bjpn
𦟽	bjpu
𦟈	bjqr
𦙶	bjr
𦜐	bjrr
𦞨	bjrr
𤓳	bjs
𣎑	bjtu
𩠫	bjvvu
𦝏	bjwi
𦞤	bjyj
𡗮	bk
𠖅	bkb
𦛒	bkb
𦊕	bkbm
𦊩	bkbm
𦋄	bkbnd
𥁾	bkbt
𧵽	bkbuc
𦞃	bkcp
𦜮	bkcs
𦞴	bkcu
𦌝	bkcwa
𦊋	bkd
𦋗	bkdd
𦙓	bke
𦋵	bkebd
𦋖	bkeee
𤉷	bkf
𦌓	bkffu
𦛏	bkg
𪈱	bkhaf
𥡙	bkhd
𦊘	bkhd
𡚘	bkhdw
𦢝	bkhe
𦛡	bkhf
𦛦	bkhh
𦊡	bkhio
𦝐	bkhl
𦋕	bkhoe
𦟩	bkhu
𦌆	bkhxd
𦚁	bki
𦫑	bkiav
𦋼	bkibp
𦌲	bkipf
𦚳	bkiu
𦌏	bkixp
𦚄	bkj
𦠏	bkja
𦋘	bkjbv
𦋧	bkjka
𦊖	bkjr
𦊟	bkjr
𦜭	bkjt
𡶬	bkku
𦉸	bkkv
𦋟	bkkv
