𧹖	botbc
𦌌	botcu
𡵠	bou
𦋩	bovfi
𠉁	bowo
𦌎	bowtq
𦡬	boyb
𢼱	boye
𦌤	boyee
𣥙	boylm
𦌤	boyne
𦟋	boyr
𦉺	boyv
𦊀	boyv
𢗯	bp
𦘪	bp
𦙦	bp
𦚧	bpa
𦝇	bpam
𦙛	bpb
𥉦	bpbu
𤋇	bpf
𦞔	bpfu
𦜩	bphp
𦞟	bpht
𣍫	bpis
𦡸	bpko
𦝰	bpkp
𦜷	bpma
𩓓	bpmbc
𣎄	bpmm
𦞌	bpmm
𦛾	bpng
𦙐	bpo
𦛂	bpobo
𦝨	bppa
𦠤	bppp
𦘮	bps
𦡋	bpuc
𦜯	bpuf
𦛳	bpuu
𦛴	bpuu
𣩖	bqbp
𤰌	bqbqb
𥁎	bqbt
𡬥	bqdi
𦟺	bqgy
𩿾	bqhaf
𦝜	bqhk
𤯷	bqhqm
𦜅	bqjl
𦢔	bqjp
𠕛	bqjr
𠱬	bqjr
𩹙	bqkf
𦟜	bqmc
𤬶	bqmvn
𦠛	bqoa
𦢤	bqoc
𦢟	bqto
𦨁	bquyg
𣬑	brapp
𦛞	brau
𣍼	brb
𣎁	brb
𤔦	brbr
𧡳	brbuu
𣑸	brd
𠭖	bre
𧧙	bre
𧧞	bre
𤋧	brf
𤑩	brf
𥈈	brf
𪀭	brhaf
𧖳	brhbt
𦛗	brhr
𣍦	brhu
𦙿	brhu
𦅚	brhvf
𦅹	brhvf
𦜀	brik
𦠾	brji
𡦝	brjkd
𠡋	brks
𤔬	brlb
𦛉	brlb
𠜛	brln
𩒗	brmbc
𦚊	brms
𤭁	brmvn
𨚯	brnl
𣤍	brno
𩀓	brog
𩟨	broiv
𠕨	bromd
𩟨	bromv
𦛽	bron
𢛇	brp
𢝯	brp
