𦢘	btfe
𦡢	btfv
𠕬	btfw
𦟤	btgg
𦡫	btgi
𦡷	btgi
𦝺	btgk
𦢹	btgk
𦣍	btgk
𦢋	btgo
𦢃	btgr
𣎮	btgs
𣎰	bthf
𦟤	bthg
𦡂	bthg
𦡦	bthg
𧖱	bthhl
𦡰	btii
𦟮	btit
𦜫	btjd
𣎙	btjs
𦟯	btjs
𠖉	btk
𡗺	btk
𦚿	btlb
𠜂	btln
𦟫	btlo
𦢩	btlx
𦚕	btm
𩒄	btmbc
𩓚	btmbc
𦝁	btmc
𦠜	btmj
𦢂	btmk
𦝧	btmv
𤮘	btmvn
𥀿	btmvs
𦣑	btnd
𨚿	btnl
𨞞	btnl
𦡐	btnq
𦜬	btob
𦢲	btof
𦣎	btog
𦞂	btor
𦢁	btor
𢘁	btp
𢘼	btp
𦢬	btpp
𣎨	btpp
𠕋	btt
𧯭	btt
𦝤	bttc
𣍮	btu
𠕏	btv
𦁒	btvv
𦚼	btw
𦡊	btwt
𦢧	btwu
𦟍	btyo
𦛿	btyv
𦘹	bu
𧠗	bua
𥈆	buabu
𥇏	buaf
𥅃	buam
𥌖	buamh
𥇹	buami
𧢑	buana
𥊺	buand
𥌻	buanw
𥌸	buanx
𠖞	buaph
𥇊	buapp
𥈎	buapv
𥊴	buase
𦠙	buau
𥌁	buavf
𥊑	buawe
𥋓	buayf
𦛎	bub
𥉄	bubbb
𥈓	bubbr
𥊋	bubbu
𥋬	bubcb
𥌽	bubcv
𥄞	bube
𥌭	bubff
𥈦	bubgb
𥉰	bubhx
𥋻	bubkc
𥊶	bubkf
𦠟	bubl
𥈺	bubla
𥉕	bubmo
𥆬	bubnd
𥋡	bubnn
𥉻	bubof
𥋯	bubor
𧡷	bubou
