𣗨	dahb
𣔑	daik
𣑬	daj
𣗤	dajv
𣒋	dam
𣛀	damg
𣠨	damk
𣘥	danh
𣠼	danh
𣜝	dani
𣚾	dank
𣜊	danl
𣙎	danr
𣡞	danr
𣠸	dant
𣛣	dant
𣟬	danw
𣠢	daoc
𢢫	dap
𣓾	daph
𣞺	date
𣙒	davn
𣡤	dayv
𡭂	dbami
𣝗	dbbb
𣜬	dbbe
𧵩	dbbuc
𧠵	dbbuu
𣖒	dbce
𣛸	dbcj
𣖡	dbcn
𣝯	dbdbb
𣡍	dbdbb
𣙓	dbdh
𦡨	dbdhe
𤏡	dbf
𣟠	dbff
𪀜	dbhaf
𣓆	dbhg
𣑪	dbhj
𣫄	dbhne
𠒧	dbhu
𣏝	dbhu
𣞠	dbhu
𤫷	dbhvo
𢻦	dbje
𣙡	dbkk
𣔷	dbkl
𠢠	dbks
𧑖	dblii
𣏊	dbm
𣖩	dbme
𢆬	dbmjj
𣔔	dbml
𠄬	dbmm
𣏵	dbmm
𣑂	dbms
𨝵	dbnl
𣐶	dbob
𣘤	dbof
𢿱	dbok
𣐒	dbr
𣠡	dbrf
𣑿	dbru
𣑭	dbtt
𧴿	dbuc
𣕱	dbud
𣝇	dbud
𣡠	dbue
𪃥	dbuf
𣞹	dbuj
𪔇	dbun
𣒨	dbup
𥈸	dbuu
𣙧	dbuv
𢿨	dbye
𣀙	dbye
𣐠	dbyi
𣔋	dc
𣘴	dcav
𧢔	dcbuu
𣛞	dce
𪈈	dchaf
𪈐	dchaf
𣟡	dchb
𣙚	dcig
𣗒	dcj
𣏤	dck
𣏎	dcl
𣕆	dcmt
𩽓	dcnwf
𢤿	dcp
𣈅	dda
𣁩	ddbai
𣝪	ddbai
𣠈	ddbai
𣠵	ddbai
𣡡	ddbai
𣠫	ddbal
𣡜	ddbat
