𪋽	demvs
𪍵	demwj
𢿫	demym
𣐢	den
𦫗	denau
𪍏	denbc
𪍚	denhd
𪍘	denhk
𪌻	denib
𤿦	denin
𪌫	denin
𪍳	denlb
𪍄	denme
𪌀	denn
𪌒	deno
𪚷	denxu
𤿒	deob
𪌅	deob
𣗙	deog
𪍇	deog
𪍞	deohw
𪌿	deoip
𪌑	deok
𪎀	deomm
𪌇	deomn
𪍍	deomn
𪌿	deomp
𪌟	deos
𣛯	deot
𪋼	dep
𪍃	dephp
𤿉	depi
𪌼	depou
𪌈	depp
𪍐	deptd
𪌋	depu
𪌐	deq
𣝠	deqf
𪍲	deqoa
𪍮	deqsk
𣒩	der
𪌭	derb
𪌸	derhq
𥀜	derjw
𪍽	derrd
𪌄	deru
𥀨	derxu
𪓜	derxu
𪍛	desfb
𤿇	desh
𪌕	deshr
𪌺	deskr
𦐢	desmm
𪌖	dess
𤿸	deta
𪍤	detak
𪍑	detcw
𪍬	deteh
𪎄	detei
𪍋	detfh
𪍶	detgr
𩠗	dethu
𥀌	detir
𪍙	detjp
𪍀	detmc
𪎅	detnm
𪍶	dettr
𥀛	detwa
𥀯	detwi
𣠴	deubk
𣜮	deuh
𥀋	deumw
𥀑	deumw
𡛬	dev
𪍄	devne
𪍨	devvd
𪍔	devvv
𪍁	dewhd
𪎆	dewlg
𪍹	dewli
𪍺	dewlv
𪍝	dewot
𪍪	dewtj
𪍯	dewvf
𪋿	dey
𪍈	deyaj
𪍼	deybr
𣛦	deyd
𪌏	deye
𪌘	deyg
𣃤	deyhs
𪌉	deyj
𪍦	deyjj
𪌷	deymh
𪍅	deyok
𪍸	deypo
𪌁	deyv
𥀪	deyvg
𣏹	df
𤆰	df
