𣙟	dfbb
𣔐	dfbf
𣘮	dfbk
𣚿	dfbk
𣛟	dfbq
𣗋	dfbu
𣖷	dfcb
𣠂	dfdc
𣛒	dfebu
𤏇	dff
𣞁	dffd
𣟕	dffd
𣜧	dffn
𪇎	dfhaf
𣘽	dfhu
𣒹	dfhv
𣑷	dfk
𠢱	dfks
𣍃	dflwl
𩖗	dfmbo
𣕂	dfqd
𣙢	dfqu
𨇌	dfryo
𣒁	dft
𡉣	dg
𣝔	dgbd
𣒆	dgbn
𣓘	dgbn
𣔭	dgcg
𣔡	dgde
𣟍	dgfd
𣟌	dgfe
𤞷	dgik
𣒗	dgil
𣓹	dgil
𨤺	dgje
𣙀	dgji
𣜪	dgkc
𣙯	dgog
𩀼	dgok
𢡫	dgp
𣞸	dgrw
𨁥	dgryo
𣝒	dgtd
𣠃	dgtf
𣀧	dgye
𣠰	dhaa
𣘖	dhad
𣞌	dhas
𣞛	dhbe
𣠹	dhbf
𣡿	dhbf
𣟣	dhbj
𣝳	dhbp
𣔬	dhbt
𣝶	dhbt
𥂸	dhbt
𣑉	dhbu
𣑮	dhby
𣙺	dhce
𣟱	dhcj
𣞗	dhcn
𣒡	dhd
𣙨	dhde
𣛽	dhdm
𣘵	dhdn
𣒴	dhds
𣒇	dhdu
𣒥	dheb
𣜤	dheh
𣓂	dhew
𡯀	dhf
𣝎	dhff
𣜷	dhfp
𣐰	dhfs
𣛆	dhgi
𣕅	dhgu
𣞳	dhgy
𣛪	dhhc
𣝁	dhhj
𣠘	dhhj
𣛘	dhhk
𣛗	dhhr
𢦔	dhi
𣏈	dhi
𣟹	dhih
𣝕	dhii
𣟔	dhii
𣘷	dhij
𣘜	dhir
𣏸	dhj
𣝃	dhjm
𣔪	dhjp
𣛖	dhjs
𣐪	dhke
𣕊	dhke
𠠸	dhks
𣐧	dhks
𧎆	dhlii
𣛬	dhll
