𣏞	diku
𢃪	dilb
𧌻	dilmi
𣐼	dimj
𥖸	dimr
𣘋	dinb
𨙯	dinl
𩛥	dinq
𩸝	dinwf
𣖵	diog
𢚳	dip
𣖿	dipc
𣟸	dipd
𣕘	dird
𣛴	dirp
𣓖	disb
𣕄	disb
𣓅	disd
𣞒	disk
𣡹	disp
𣓠	diss
𣛮	dist
𣠯	disv
𣟴	disv
𣜰	ditc
𣒏	ditf
𣙃	ditf
𣓙	diti
𣔳	ditu
𣙴	diur
𣒎	diuu
𣐋	div
𣖸	diyj
𣓄	diyp
𣙣	djac
𣘔	djak
𣛭	djal
𣑛	djb
𣟄	djbd
𣠻	djbd
𣐈	djbh
𣔎	djbt
𣏕	djc
𣡐	djcb
𣖉	djcd
𣔱	djce
𣔻	djck
𣑒	djcn
𣒔	djcn
𣔛	djcu
𣛱	djcx
𣞥	djdc
𣑋	djdi
𣖌	djec
𩓡	djec
𤉀	djf
𩿣	djhaf
𣞐	djhf
𣒲	djhq
𡘮	djhqo
𣝫	djig
𣖋	djir
𣔮	djis
𣚺	djisy
𣚸	djiv
𣛨	djjb
𡗒	djk
𣑥	djkn
𣝄	djlm
𣓊	djln
𣓉	djlo
𩑷	djmbc
𣠦	djmc
𣘹	djmc
𤊟	djmo
𩈘	djmwl
𣑑	djnd
𣙉	djoe
𣙜	djog
𣞄	djoma
𣜏	djpb
𣚷	djrh
𣖥	djrq
𣒖	djru
𣘕	djsb
𣟯	djto
𣟂	djtu
𣓤	djtu
𣟋	djtv
𣗈	djvd
𣚅	djvp
𣛡	djwb
𣚐	djwf
𣒞	djwj
𣠣	djwp
𣖢	djyoj
𠅍	djyv
𧢜	dkbuu
𣗟	dkcf
𣔏	dkcj
