𣘝	dmbu
𣠚	dmbw
𣑓	dmdi
𣝺	dmed
𣝧	dmfb
𣐣	dmfh
𣖍	dmfm
𣛓	dmfv
𣕨	dmfw
𣐅	dmg
𣗝	dmgg
𣔦	dmgg
𣚶	dmgn
𣚒	dmgu
𣙽	dmhd
𣒟	dmho
𣏇	dmi
𣏿	dmk
𣕊	dmke
𣜂	dmkm
𣓈	dmlb
𣔯	dmlb
𩇶	dmlmy
𣏜	dmls
𣒘	dmlu
𩒅	dmmbc
𣗂	dmmd
𣝂	dmmi
𣕭	dmng
𣜡	dmoi
𣐸	dmow
𣓸	dmpm
𣏓	dmps
𣘅	dmre
𥒯	dmrg
𣘁	dmrr
𣗳	dmti
𣙞	dmtj
𣓣	dmtu
𣠟	dmub
𣒸	dmug
𣘣	dmvb
𣖭	dmvg
𣏳	dmvi
𣐛	dmvm
𣐎	dmvn
𣏛	dmvo
𧕱	dmvvi
𢮟	dmvvq
𤛉	dmvvq
𣠽	dmwb
𣗖	dmwd
𣗇	dmwf
𣜙	dmwl
𣞀	dmwm
𣔸	dmwo
𣒽	dmyp
𣎷	dn
𣇮	dna
𣟁	dnbg
𣗽	dnbp
𣔞	dndo
𣓶	dndt
𣏺	dndu
𣚹	dneb
𣑕	dnem
𣒝	dnem
𥻌	dnfd
𣟲	dnfq
𣔖	dngg
𣏐	dni
𣐜	dni
𣑣	dnii
𣛶	dnkf
𣏖	dnl
𢃴	dnlb
𣗑	dnlj
𧌐	dnlmi
𩙐	dnlmi
𧎀	dnlmi
𨢹	dnmcw
𣓜	dnmd
𣔹	dnmk
𣚑	dnmr
𣎸	dnn
𣛿	dnnc
𤴜	dnod
𩛳	dnoiv
𣐕	dnom
𩛳	dnomv
𢝗	dnp
𢜣	dnp
𣛇	dnqr
𣚦	dnri
𦖝	dnsj
𦖨	dnsj
𣟑	dnti
𣞽	dntl
𣞿	dnuf
𣝊	dnuu
