𣎺	dnvs
𣞭	dnwe
𩵴	dnwf
𪑟	dnwgf
𪘼	dnymu
𣐌	dnyo
𠌊	doau
𣘺	dobr
𣒦	dobu
𧷕	dobuc
𧡛	dobuu
𣓚	docms
𣐾	dod
𠐇	dodo
𣏘	doe
𣐐	dof
𡑻	dog
𣐍	dog
𣗃	dog
𣐴	dog
𣒰	dogb
𣛜	dogd
𣛑	dogf
𣔫	dogg
𣠤	dogu
𪄳	dohaf
𣮉	dohqu
𥏳	doiok
𣖤	doir
𣬀	doisy
𣘞	doiw
𣔤	dojk
𢻾	dok
𣔌	dokd
𣘀	dolh
𩐋	dolsm
𩐒	dolsm
𢆠	domfj
𤦃	domgi
𣏴	domm
𣏙	domn
𣜴	domp
𣒍	domr
𣘞	domw
𪒁	domwf
𨤸	domwg
𠾂	domwr
𣒻	dong
𣔢	donn
𣒀	dono
𩽑	donwf
𩞌	dooiv
𢽟	dook
𣟺	dook
𣞚	doom
𣛌	doomb
𠎙	doomr
𩞌	doomv
𣑰	dop
𣑻	doq
𣗯	dorq
𧡽	doshu
𢠗	dosip
𣗍	dotc
𣡅	dotn
𣛐	dovf
𤲝	dow
𨤭	dowg
𤳇	dowks
𠻮	dowr
𣛉	doyb
𣙕	doyk
𧫷	doymr
𣛏	doyn
𢗦	dp
𣖆	dpad
𣕍	dpak
𣓓	dpas
𣖼	dpas
𣟤	dpdc
𣒬	dpdm
𣟓	dpfc
𣓗	dpha
𩰧	dphhh
𣡴	dpjj
𣏯	dpk
𣝅	dpko
𣕲	dpmm
𣘰	dpmm
𨟤	dpnl
𣖑	dpom
𣛚	dppp
𣕌	dprk
𣐆	dpsh
𣑤	dpuk
𣖣	dpuu
𣚆	dpuu
𣑈	dpys
𩎿	dqaa
𣡢	dqai
