𣜚	dqap
𩏌	dqapv
𩎤	dqav
𩏰	dqavf
𩏍	dqbla
𩏅	dqbme
𩏺	dqbue
𧢣	dqbuu
𩏭	dqcdm
𣖓	dqce
𩎰	dqcru
𣑳	dqd
𩎩	dqdbs
𣟪	dqdi
𩎯	dqdl
𩎴	dqdn
𩏏	dqdss
𩎽	dqea
𩎸	dqfqu
𩏮	dqgbd
𣖖	dqgi
𩏫	dqgow
𩏳	dqhai
𩎷	dqhef
𩏦	dqhef
𩎬	dqher
𩏄	dqhew
𣚃	dqhf
𩏇	dqhje
𩏋	dqhju
𩎚	dqhmy
𩎫	dqhnd
𣪡	dqhne
𩘚	dqhni
𩎶	dqhoe
𩏃	dqhoe
𩏐	dqhui
𩏤	dqhuj
𩏂	dqhwj
𩎓	dqik
𩎾	dqipu
𩏟	dqirg
𩎹	dqirm
𩎙	dqiv
𩎟	dqjd
𩏆	dqjmm
𩎺	dqjnu
𩏖	dqkdl
𣗘	dqke
𣞜	dqkj
𩎔	dqkk
𩎱	dqkoo
𩎛	dqlln
𩏝	dqllv
𩏡	dqlmc
𩎻	dqlmy
𩎥	dqlwp
𩎨	dqmam
𩏊	dqmem
𩎜	dqmfm
𩎒	dqmj
𩏁	dqmmd
𣓻	dqmv
𣕬	dqmy
𩏊	dqnem
𩎕	dqnhe
𩎝	dqniu
𩎼	dqnlp
𩎗	dqno
𩏠	dqnot
𣚽	dqoa
𩎠	dqodi
𩏢	dqogf
𩎧	dqoik
𩎖	dqoin
𣞶	dqoj
𢾝	dqok
𩎖	dqomn
𩏩	dqomo
𣛋	dqomr
𩏛	dqomt
𩏬	dqoos
𩎘	dqpru
𩏚	dqqjm
𩏲	dqqjp
𨜢	dqrau
𩏥	dqrrj
𩎣	dqshr
𩏱	dqslc
𦑻	dqsmm
𩏵	dqtei
𩏯	dqtii
𩏒	dqtor
𩏕	dqtpb
𩎢	dque
𩏘	dquog
𣏢	dqvi
𩏙	dqvvd
𩏔	dqvvu
𩏀	dqvvw
