𣝢	dtco
𣚜	dtcp
𣚞	dtcr
𣞼	dtcv
𣗠	dtcy
𣟒	dtdd
𡬾	dtdi
𣘐	dtdt
𣕒	dte
𣘡	dteh
𣔶	dteu
𣜎	dtfn
𣜒	dtge
𪈻	dtgf
𣡻	dtgg
𣘎	dtgi
𣝉	dtgi
𣞕	dtgi
𣡊	dtgi
𣖙	dtgk
𣗹	dtgp
𣜆	dtgr
𣡒	dtgs
𣙥	dtgt
𣚰	dtgu
𣕞	dtgv
𣖾	dthb
𧅦	dthc
𣓒	dthe
𣓎	dthk
𣔠	dthl
𣒾	dthn
𣜳	dthn
𣞷	dthp
𣘾	dthsb
𣝸	dtib
𣟿	dtid
𣞢	dtif
𣕚	dtih
𣝍	dtii
𣔰	dtio
𣞓	dtip
𣙷	dtit
𣛰	dtja
𣛂	dtjf
𣜯	dtjm
𣗩	dtjp
𣕗	dtjp
𣖚	dtkr
𠡠	dtks
𣕺	dtku
𣚖	dtku
𣚖	dtkv
𣟛	dtlf
𣞎	dtlt
𣞾	dtlv
𤯃	dtm
𣚴	dtma
𣟞	dtma
𣠝	dtmb
𣗊	dtmb
𩓋	dtmbc
𨡶	dtmcw
𣞧	dtme
𣔟	dtmf
𣘇	dtmm
𣝀	dtms
𣜻	dtmvi
𣞦	dtmw
𣑎	dtmy
𣓃	dtob
𣗪	dtod
𣘻	dtod
𣗎	dtog
𣖝	dtog
𣕵	dtoi
𣙘	dtok
𣔁	dton
𣞔	dtoo
𣠇	dtoo
𣝡	dtov
𣞼	dtov
𢣡	dtp
𣔀	dtp
𣚭	dtpd
𣜿	dtpd
𣔾	dtpo
𣓋	dtpp
𣕉	dtpr
𣝾	dtqd
𣡀	dtre
𣕸	dtsb
𣙻	dtse
𣞨	dtsi
𣚋	dtsl
𣠩	dtst
𣏨	dtt
𣝈	dttc
𣝰	dtun
𣖬	dtuo
