𣚣	dwtc
𣠠	dwwg
𣡫	dwwi
𣡟	dwwm
𣡭	dwwm
𣡧	dwwu
𣕶	dwys
𠀟	dxn
𣗔	dyav
𣜶	dyav
𣟷	dybk
𣡌	dybk
𣟻	dybp
𣔲	dybr
𣚌	dybr
𣓲	dybs
𣜐	dybu
𣟎	dybv
𣏥	dyc
𣚪	dycm
𣖞	dycr
𣠥	dydg
𣏽	dye
𣑏	dye
𣗌	dyfd
𣖐	dyha
𣔅	dyhl
𣜲	dyhu
𣐿	dyhv
𣕛	dyib
𣘚	dyij
𣑁	dyiu
𣚢	dyji
𣛔	dyji
𣐀	dyk
𣙛	dykb
𣟆	dykf
𣚳	dykg
𣒒	dykl
𣙮	dykl
𣟧	dylc
𣗫	dylm
𣔴	dylw
𣔨	dymb
𣒉	dyme
𣗀	dyme
𣐹	dymf
𣐑	dymp
𣘨	dymv
𣠾	dynq
𣟅	dynv
𣏡	dyo
𣛎	dyog
𣚀	dypb
𣚁	dypc
𣝛	dypc
𣖪	dypd
𣖧	dypd
𣜁	dypg
𣖳	dypk
𣘭	dypl
𣒄	dypm
𣙁	dypm
𣚛	dypm
𣛼	dypt
𣔝	dypu
𣟙	dyrc
𣝩	dyrd
𣖟	dyrj
𣘙	dyrl
𣠐	dyrl
𣘄	dyrp
𣟐	dysg
𣕹	dyso
𣖗	dysp
𣚂	dysr
𣔃	dysv
𣖺	dysv
𣟊	dysv
𣟚	dytc
𣟵	dyti
𣟀	dytj
𣒂	dytl
𣓱	dytl
𣟥	dytp
𣝘	dytq
𣚍	dytr
𣛹	dyub
𣡁	dyuk
𣐙	dyvi
𣜛	dywb
𣙏	dywd
𣝋	dywe
𣡣	dywl
𣟳	dywv
𣏣	dyy
𤄥	eaavf
𣶀	eab
𣷠	eab
𣼔	eabd
