𣼎	efog
𤉺	efok
𤊮	efok
𢢵	efp
𣲹	egb
𣵒	egb
𣶝	egbm
𣻪	egck
𣸡	egfd
𤃀	egfe
𣽟	egfo
𤃋	eggc
𣼤	eggr
𪁘	eghaf
𤃕	eghe
𤃲	egif
𤄁	egii
𧇦	egin
𣿣	egit
𧇦	egiu
𣼳	egji
𠡍	egks
𣶥	egmr
𤁟	egnr
𣼭	egog
𣾼	egov
𤂌	egrc
𤁅	egrg
𤀺	egrr
𣾓	egrv
𤂠	egti
𤅮	egtp
𣸉	egtq
𣴧	egug
𤄮	egun
𡝝	egv
𣼯	egyr
𤅑	egyv
𤄒	ehab
𣴼	ehac
𣻏	ehad
𤅲	ehaf
𩾯	ehaf
𩾼	ehaf
𣹛	ehag
𣴢	ehaj
𣹋	ehan
𤀴	ehao
𣴡	ehap
𤃾	ehat
𣴋	ehau
𣴟	ehau
𣲿	ehbe
𤂳	ehbi
𤅚	ehbm
𣴁	ehbt
𣹚	ehbt
𤀤	ehbt
𤁌	ehbt
𥁲	ehbt
𥁳	ehbt
𥂵	ehbt
𥆝	ehbu
𤁈	ehc
𣼺	ehce
𣓥	ehd
𣲲	ehd
𣽤	ehdb
𤄪	ehde
𣽿	ehdg
𣶸	ehdl
𣻗	ehdn
𣿇	ehdp
𣷓	ehdr
𣵛	ehds
𣲋	ehe
𣳛	ehe
𣴗	eheb
𣶳	eheg
𣿆	ehfn
𡋷	ehg
𡌂	ehg
𡐀	ehg
𡑑	ehg
𤅕	ehgi
𣽯	ehhb
𤂱	ehhe
𣲀	ehhh
𣽜	ehhk
𣵸	ehhn
𣹃	ehht
𤅄	ehic
𤄛	ehig
𤁔	ehij
𤅡	ehjc
𣹂	ehje
𣺡	ehjg
𣳴	ehjm
𣸩	ehju
𣾷	ehkb
