𣵈	ejms
𣼂	ejmu
𣼊	ejoe
𣽧	ejoe
𢣣	ejp
𣹡	ejpa
𤀑	ejpb
𣽹	ejpb
𣾈	ejpt
𣳖	ejr
𣼡	ejsb
𣹦	ejse
𤀕	ejtg
𣸣	ejto
𣷝	ejtu
𣽬	ejty
𤁂	ejwc
𣽉	ejwf
𣶣	ejwi
𣷼	ejwi
𣵐	ejwj
𨋉	ejwj
𤃆	ejwv
𣹙	ekbl
𣸷	ekce
𣿳	ekcf
𤃖	ekcf
𣻑	ekde
𣵟	eke
𣵩	ekf
𪁕	ekhaf
𤂲	ekhc
𤅂	ekhc
𣴥	ekhg
𣶐	ekhl
𤂤	ekhq
𣳜	ekhu
𪎤	ekidd
𪎤	ekijc
𣹆	ekit
𣶨	ekli
𣼜	eklu
𣽂	eklx
𣲔	ekm
𣳇	ekm
𣷿	ekmb
𣳹	ekmd
𣴰	ekmj
𠭑	ekmr
𣺔	ekmt
𣺚	ekmv
𤀸	eknf
𩷯	eknwf
𣾰	ekoe
𠳛	ekr
𣹩	eksb
𣺮	eksi
𣴚	ekss
𤅅	ektd
𣷟	ektj
𤂾	ekyh
𧚚	ekyhv
𣸳	ekyv
𣋫	ela
𣷈	elb
𥁵	elbt
𨮜	elc
𣵏	eld
𤁿	elgb
𤄼	elgf
𣻱	elgm
𧈡	eli
𣸚	elid
𤅱	elit
𣶤	elkr
𣺻	elkt
𣽖	elli
𤄸	elmf
𥜙	elmmf
𣻲	elmw
𩉍	elmwl
𠚫	eln
𤂗	elnb
𣽖	elni
𤄎	elnu
𩟗	eloiv
𩟗	elomv
𣷡	elp
𣸁	elqh
𠲻	elr
𤁖	elwd
𣳑	elwl
𣾝	elya
𣱲	em
𣸼	emaf
𣽀	emal
𣶇	embb
𣽈	embb
𤅉	embb
𣹟	embc
