𣲪	emvu
𣿦	emwc
𣺗	emwf
𣻔	emwf
𤁄	emwg
𤄊	emwg
𤁎	emwj
𤂭	emwj
𤀌	emwm
𣻝	emwu
𤄍	emww
𣲉	emy
𣸒	emyj
𣴊	enau
𤀧	enau
𣿨	enbq
𣽃	encr
𣑃	end
𣹏	endd
𣻆	endf
𣵂	ene
𣾎	enef
𤏄	enf
𤃽	enfb
𥹦	enfd
𤄏	enff
𤄣	enfi
𡋆	eng
𡋋	eng
𣷺	enhe
𣱽	enhs
𣿧	enhu
𣴙	enin
𤃚	enio
𣹢	eniw
𣳢	eniy
𣲌	enj
𣶻	enkw
𣵥	enla
𣶊	enla
𣾂	enla
𣹝	enlb
𣿂	enlb
𣿃	enlb
𣵺	enld
𣼩	enli
𣾶	enlo
𣵻	enlp
𣶰	enlr
𣽻	enlv
𣼼	enlw
𣾭	enmr
𥖍	enmr
𩰾	enmrb
𣱾	enn
𣹎	ennc
𤂻	enno
𣿥	enoa
𣻬	enod
𣸍	enoe
𠭫	enof
𣼈	enoi
𣺍	enok
𣻍	enrf
𣱴	ens
𣵊	enuq
𣿡	enwe
𣹍	enwe
𩼪	enwf
𣽔	enwg
𤀯	enwi
𣹍	enwk
𣺆	enwt
𣽌	enxo
𣳟	enyo
𣱸	eo
𣱿	eo
𣸪	eoae
𣵤	eoam
𤁰	eoan
𤂥	eoas
𦘬	eobo
𥁷	eobt
𣒿	eod
𣻠	eodj
𣳅	eof
𤈾	eof
𤁶	eofb
𣷦	eofd
𪇶	eoff
𣵲	eofq
𣹶	eoge
𣺦	eoge
𣵁	eoha
𣴓	eohq
𣶗	eoie
𣸮	eoii
𤀔	eoio
𤃠	eoiv
𣻦	eoiw
